Starting optimization with 20...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult           dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     3.264208e-03   1.019750e-01   
  1     5.636824e-04   4.081242e-02   5.098749e-02   3         2         2         0         1915              10                1701              2                 0                 
  2     7.158264e-05   1.348560e-02   1.962105e-02   4         3         1         0         2925              15                2604              3                 0                 
  3     2.706740e-06   1.954120e-03   1.093081e-02   5         4         1         0         3949              20                3521              4                 0                 
  4     1.545140e-06   1.764936e-03   1.456107e-03   6         5         1         0         4946              24                4431              5                 0                 
  5     8.104181e-07   9.232928e-04   6.344469e-04   7         6         1         0         6229              29                5607              6                 0                 
  6     2.874130e-07   4.395647e-04   1.212975e-03   8         7         1         0         7463              34                6734              7                 0                 
  7     1.367947e-07   3.351500e-04   5.361200e-04   9         8         1         0         8606              39                7770              8                 0                 
  8     1.108518e-07   6.678663e-04   9.719482e-04   10        9         1         0         9652              43                8729              9                 0                 
  9     2.709378e-08   1.583314e-04   3.214788e-04   11        10        1         0         10851             48                9821              10                0                 
  10    1.942193e-08   5.625484e-05   1.424380e-04   12        11        1         0         12092             53                10955             11                0                 
  11    1.720800e-08   4.877977e-05   4.480353e-05   13        12        1         0         13299             57                12075             12                0                 
  12    9.857564e-09   5.601991e-05   2.583251e-04   14        13        1         0         14478             61                13167             13                0                 
  13    6.387532e-09   4.997521e-05   1.912298e-04   15        14        1         0         15622             65                14224             14                0                 
  14    3.476609e-09   4.996209e-05   3.079433e-04   16        15        1         0         16787             69                15302             15                0                 
  15    1.816321e-09   2.805006e-05   7.960097e-05   17        16        1         0         17987             73                16415             16                0                 
  16    1.112708e-09   1.629981e-05   6.687160e-05   18        17        1         0         19271             77                17612             17                0                 
  17    8.087799e-10   9.567922e-06   5.448045e-05   19        18        1         0         20527             81                18781             18                0                 
  18    6.200958e-10   1.005791e-05   4.596457e-05   20        19        1         0         21525             84                19712             19                0                 
  19    4.929324e-10   9.203834e-06   4.021732e-05   21        20        1         0         22781             88                20881             20                0                 
  20    4.356779e-10   1.011501e-05   4.370547e-05   22        21        1         0         24030             92                22043             21                0                 
  21    3.855159e-10   3.010875e-06   1.261964e-05   23        22        1         0         25293             96                23219             22                0                 
  22    3.719852e-10   3.300869e-06   6.413450e-06   24        23        1         0         26375             99                24234             23                0                 
  23    3.105158e-10   6.175691e-06   3.803211e-05   25        24        1         0         27415             102               25207             24                0                 
  24    2.570164e-10   6.139589e-06   4.832622e-05   26        25        1         0         28713             106               26418             25                0                 
  25    1.789695e-10   2.712772e-06   8.147252e-05   27        26        1         0         30011             110               27629             26                0                 
  26    1.275133e-10   3.773356e-06   8.461218e-05   28        27        1         0         31037             113               28588             27                0                 
  27    9.456510e-11   5.687770e-06   5.643589e-05   29        28        1         0         32098             116               29582             28                0                 
  28    3.814044e-11   5.630455e-06   1.117828e-04   30        29        1         0         33438             120               30835             29                0                 
  29    2.995375e-11   5.281659e-06   7.470194e-05   31        30        1         0         34785             124               32095             30                0                 
  30    1.117781e-11   1.034968e-06   1.486830e-05   32        31        1         0         35860             127               33103             31                0                 
  31    1.033790e-11   2.528145e-07   1.027633e-05   33        32        1         0         36998             130               34174             32                0                 
  32    1.026224e-11   1.169181e-07   2.342299e-06   34        33        1         0         38143             133               35252             33                0                 
  33    1.023568e-11   1.477218e-07   5.142109e-07   35        34        1         0         39337             136               36379             34                0                 
  34    1.007498e-11   3.559776e-07   2.661266e-06   36        35        1         0         40489             139               37464             35                0                 
  35    9.788673e-12   5.912313e-07   4.763393e-06   37        36        1         0         41627             142               38535             36                0                 
  36    9.177351e-12   8.277361e-07   1.106803e-05   38        37        1         0         42765             145               39606             37                0                 
  37    8.410045e-12   7.753678e-07   1.564549e-05   39        38        1         0         43903             148               40677             38                0                 
  38    7.101096e-12   5.426355e-07   2.286499e-05   40        39        1         0         45062             151               41769             39                0                 
  39    4.518220e-12   5.093888e-07   6.415275e-05   41        40        1         0         46207             154               42847             40                0                 
  40    3.083363e-12   9.487522e-07   3.880489e-05   42        41        1         0         47387             157               43960             41                0                 
  41    1.858239e-12   9.731540e-07   2.785180e-05   43        42        1         0         48567             160               45073             42                0                 
  42    7.560657e-13   5.819282e-07   3.595910e-05   44        43        1         0         49747             163               46186             43                0                 
  43    6.008919e-13   1.815911e-07   6.202099e-06   45        44        1         0         50941             166               47313             44                0                 
  44    5.679063e-13   3.506892e-08   1.799712e-06   46        45        1         0         52170             169               48475             45                0                 
Optimization Terminated with Status: Converged
The process took 177.103 seconds to run.
Total n_vmult for algorithm 52170
