Starting optimization with 20...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult           dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     7.048958e-03   2.416031e-01   
  1     3.356285e-03   2.268711e-01   6.040077e-02   4         2         3         0         21317             41                13923             2                 0                 
  2     7.131277e-04   5.837646e-02   2.068120e-02   5         3         1         0         24933             46                16632             3                 0                 
  3     2.772443e-04   3.293761e-02   1.061153e-02   6         4         1         0         30417             55                20489             4                 0                 
  4     4.174896e-05   1.584528e-02   1.308634e-02   7         5         1         0         36340             65                24605             5                 0                 
  5     2.388912e-05   1.601538e-02   3.389241e-03   9         6         2         0         43318             76                29596             6                 0                 
  6     8.973947e-06   5.670423e-03   2.086173e-03   10        7         1         0         47604             82                32795             7                 0                 
  7     4.842718e-06   3.483256e-03   1.247432e-03   11        8         1         0         51332             87                35616             8                 0                 
  8     2.253078e-06   2.346698e-03   1.371902e-03   12        9         1         0         55688             93                38885             9                 0                 
  9     8.030308e-07   1.309531e-03   1.207542e-03   13        10        1         0         59591             98                41881             10                0                 
  10    2.452911e-07   7.072718e-04   1.114219e-03   14        11        1         0         63662             103               45045             11                0                 
  11    1.677119e-07   5.919793e-04   4.207878e-04   15        12        1         0         67969             109               48265             12                0                 
  12    1.219711e-07   2.819191e-04   1.213877e-04   16        13        1         0         71125             113               50694             13                0                 
  13    8.946671e-08   2.108355e-04   1.772681e-04   17        14        1         0         74484             117               53326             14                0                 
  14    5.702191e-08   2.190624e-04   2.905768e-04   18        15        1         0         77773             121               55888             15                0                 
  15    2.714269e-08   1.741141e-04   3.836463e-04   19        16        1         0         81083             125               58471             16                0                 
  16    2.248318e-08   2.261329e-04   2.067804e-04   21        17        2         0         86994             134               62755             17                0                 
  17    1.525978e-08   7.605101e-05   6.942872e-05   22        18        1         0         90339             138               65373             18                0                 
  18    1.290915e-08   6.722540e-05   4.986563e-05   23        19        1         0         93775             142               68082             19                0                 
  19    9.230701e-09   7.760672e-05   1.142593e-04   24        20        1         0         97211             146               70791             20                0                 
  20    5.710539e-09   5.803005e-05   1.476741e-04   25        21        1         0         100563            150               73416             21                0                 
  21    4.687596e-09   7.361441e-05   8.344600e-05   27        22        2         0         105631            157               77217             22                0                 
  22    3.363200e-09   3.366620e-05   7.466887e-05   28        23        1         0         109053            161               79912             23                0                 
  23    2.635061e-09   3.510823e-05   4.907466e-05   29        24        1         0         111721            164               82033             24                0                 
  24    1.766024e-09   3.298538e-05   8.450848e-05   30        25        1         0         115157            168               84742             25                0                 
  25    1.277761e-09   1.320416e-05   5.966736e-05   31        26        1         0         118579            172               87437             26                0                 
  26    1.019542e-09   1.659917e-05   4.819359e-05   32        27        1         0         121952            176               90083             27                0                 
  27    8.198406e-10   2.628638e-05   4.412775e-05   33        28        1         0         125388            180               92792             28                0                 
  28    4.793352e-10   3.059805e-05   8.719744e-05   34        29        1         0         128873            184               95550             29                0                 
  29    2.286529e-10   1.114537e-05   7.464564e-05   35        30        1         0         132309            188               98259             30                0                 
  30    1.886994e-10   3.983630e-06   1.584772e-05   36        31        1         0         135626            192               100849            31                0                 
  31    1.817943e-10   3.265853e-06   6.234165e-06   37        32        1         0         139090            196               103586            32                0                 
  32    1.764997e-10   3.804155e-06   5.180999e-06   38        33        1         0         141835            199               105784            33                0                 
  33    1.555715e-10   5.598577e-06   1.690137e-05   39        34        1         0         144559            202               107961            34                0                 
  34    1.171379e-10   7.371903e-06   3.414795e-05   40        35        1         0         147325            205               110180            35                0                 
  35    7.542693e-11   9.101750e-06   5.504868e-05   41        36        1         0         150810            209               112938            36                0                 
  36    5.222365e-11   3.574326e-06   3.437322e-05   42        37        1         0         154316            213               115717            37                0                 
  37    4.709037e-11   9.950441e-07   9.515539e-06   43        38        1         0         157061            216               117915            38                0                 
  38    4.634736e-11   5.950232e-07   4.114578e-06   44        39        1         0         159855            219               120162            39                0                 
  39    4.587661e-11   7.090355e-07   1.483419e-06   45        40        1         0         162677            222               122437            40                0                 
  40    4.241220e-11   1.872163e-06   1.025776e-05   46        41        1         0         165436            225               124649            41                0                 
