Starting optimization with 40...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     7.127850e-03   2.016051e-01   
  1     4.070664e-03   1.910888e-01   5.040128e-02   4         2         3         0         
  2     1.893487e-03   7.902785e-02   1.671419e-02   5         3         1         0         
  3     9.405569e-04   5.918085e-02   2.094471e-02   6         4         1         0         
  4     4.134736e-04   4.774963e-02   1.642757e-02   7         5         1         0         
  5     4.049833e-04   8.559102e-02   2.891822e-02   8         6         1         0         
  6     4.781010e-05   2.062233e-02   1.027397e-02   9         7         1         0         
  7     2.156936e-05   6.230843e-03   3.428337e-03   10        8         1         0         
  8     1.618349e-05   4.960847e-03   1.061330e-03   11        9         1         0         
  9     5.383989e-06   4.267038e-03   3.832055e-03   12        10        1         0         
  10    1.612837e-06   2.455610e-03   2.452406e-03   13        11        1         0         
  11    4.750402e-07   1.602968e-03   1.814299e-03   14        12        1         0         
  12    1.582195e-07   5.872283e-04   3.791323e-04   15        13        1         0         
  13    9.270206e-08   2.900875e-04   2.387814e-04   16        14        1         0         
  14    6.763043e-08   1.763432e-04   1.690070e-04   17        15        1         0         
  15    5.016981e-08   1.926605e-04   1.722760e-04   18        16        1         0         
  16    2.892353e-08   2.218313e-04   2.760387e-04   19        17        1         0         
  17    2.021573e-08   2.951393e-04   3.397545e-04   20        18        1         0         
  18    1.119436e-08   7.140847e-05   6.173226e-05   21        19        1         0         
  19    9.623191e-09   5.269370e-05   3.589231e-05   22        20        1         0         
  20    7.766518e-09   5.700216e-05   5.918963e-05   23        21        1         0         
  21    5.603616e-09   4.595072e-05   1.012683e-04   24        22        1         0         
  22    5.440116e-09   8.045483e-05   5.834846e-05   26        23        2         0         
  23    4.637730e-09   2.462328e-05   2.819841e-05   27        24        1         0         
  24    4.410791e-09   2.135063e-05   1.561254e-05   28        25        1         0         
  25    3.871482e-09   3.150947e-05   4.862074e-05   29        26        1         0         
  26    3.099326e-09   3.755587e-05   8.524859e-05   30        27        1         0         
  27    2.192280e-09   4.880173e-05   1.468333e-04   31        28        1         0         
  28    1.792708e-09   2.681967e-05   7.876876e-05   33        29        2         0         
  29    1.608265e-09   1.273860e-05   1.598173e-05   34        30        1         0         
  30    1.491918e-09   1.315717e-05   1.824368e-05   35        31        1         0         
  31    1.386793e-09   1.626394e-05   2.126877e-05   36        32        1         0         
  32    1.175126e-09   1.637148e-05   5.375728e-05   37        33        1         0         
  33    1.030688e-09   3.019950e-05   8.389009e-05   38        34        1         0         
  34    8.145816e-10   9.395526e-06   4.586737e-05   39        35        1         0         
  35    7.266110e-10   8.883968e-06   1.835374e-05   40        36        1         0         
  36    6.003254e-10   1.227088e-05   4.017165e-05   41        37        1         0         
  37    4.093253e-10   1.298335e-05   7.432279e-05   42        38        1         0         
  38    3.441988e-10   2.229569e-05   1.002601e-04   43        39        1         0         
  39    2.358558e-10   3.698379e-06   1.816369e-05   44        40        1         0         
  40    2.231587e-10   3.119461e-06   1.199024e-05   45        41        1         0         
  41    1.939073e-10   5.318818e-06   1.631247e-05   46        42        1         0         
  42    1.614511e-10   6.181526e-06   2.708117e-05   47        43        1         0         
  43    1.391855e-10   6.428643e-06   3.798652e-05   48        44        1         0         
  44    1.227517e-10   3.343863e-06   2.131016e-05   49        45        1         0         
  45    1.165531e-10   2.335027e-06   6.351495e-06   50        46        1         0         
  46    1.104798e-10   3.529793e-06   7.218545e-06   51        47        1         0         
  47    9.968007e-11   5.165943e-06   1.217679e-05   52        48        1         0         
  48    7.302006e-11   6.872928e-06   3.571895e-05   53        49        1         0         
  49    5.659477e-11   9.111158e-06   4.471317e-05   54        50        1         0         
  50    3.846237e-11   2.777501e-06   2.421642e-05   55        51        1         0         
  51    3.478719e-11   1.040499e-06   6.198352e-06   56        52        1         0         
  52    3.359556e-11   1.052947e-06   3.201483e-06   57        53        1         0         
  53    3.238217e-11   1.495645e-06   2.568771e-06   58        54        1         0         
  54    2.787939e-11   2.712581e-06   1.017481e-05   59        55        1         0         
  55    2.076034e-11   3.529429e-06   1.901200e-05   60        56        1         0         
  56    1.189742e-11   2.880550e-06   2.910433e-05   61        57        1         0         
  57    7.588011e-12   7.463619e-07   1.756844e-05   62        58        1         0         
  58    6.816412e-12   5.759757e-07   4.430175e-06   63        59        1         0         
  59    6.593268e-12   6.070998e-07   1.698563e-06   64        60        1         0         
  60    6.240993e-12   6.432026e-07   2.500306e-06   65        61        1         0         
  61    5.432684e-12   8.964287e-07   6.231840e-06   66        62        1         0         
  62    3.979508e-12   1.164833e-06   1.309241e-05   67        63        1         0         
  63    2.268868e-12   1.098795e-06   1.934469e-05   68        64        1         0         
  64    1.939436e-12   1.034138e-06   5.307051e-06   71        65        3         0         
  65    1.300332e-12   3.821138e-07   7.558948e-06   72        66        1         0         
  66    1.188694e-12   5.113347e-08   1.805357e-06   73        67        1         0         
Optimization Terminated with Status: Converged
The process took 2912.3 seconds to run.
Total n_vmult for algorithm 51517
