Starting optimization with 100...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     7.558102e-03   1.594745e-01   
  1     4.641266e-03   1.218915e-01   3.986863e-02   4         2         3         0         
  2     3.215533e-03   7.455952e-02   2.128166e-02   5         3         1         0         
  3     2.105846e-03   6.975993e-02   2.631060e-02   6         4         1         0         
  4     9.965119e-04   5.562361e-02   3.750943e-02   7         5         1         0         
  5     6.261331e-04   6.952208e-02   2.415716e-02   9         6         2         0         
  6     2.986852e-04   2.659249e-02   1.627788e-02   10        7         1         0         
  7     1.930145e-04   2.068042e-02   6.109230e-03   11        8         1         0         
  8     7.233865e-05   1.100626e-02   1.276944e-02   12        9         1         0         
  9     4.491194e-05   1.168659e-02   7.214458e-03   13        10        1         0         
  10    2.871409e-05   6.363392e-03   3.562560e-03   14        11        1         0         
  11    1.745365e-05   4.738252e-03   4.090160e-03   15        12        1         0         
  12    9.926604e-06   4.290925e-03   3.783396e-03   16        13        1         0         
  13    5.294348e-06   5.700389e-03   5.072610e-03   17        14        1         0         
  14    2.388262e-06   1.485420e-03   1.077362e-03   18        15        1         0         
  15    1.819960e-06   1.301092e-03   6.179657e-04   19        16        1         0         
  16    1.079974e-06   1.131851e-03   1.067850e-03   20        17        1         0         
  17    4.260350e-07   6.772694e-04   1.523534e-03   21        18        1         0         
  18    4.111632e-07   1.373224e-03   1.228454e-03   22        19        1         0         
  19    1.979737e-07   3.291965e-04   3.137128e-04   23        20        1         0         
  20    1.697915e-07   2.570750e-04   1.305032e-04   24        21        1         0         
  21    1.065329e-07   2.463489e-04   4.870586e-04   25        22        1         0         
  22    8.783909e-08   5.086209e-04   5.320059e-04   26        23        1         0         
  23    5.482919e-08   1.575501e-04   1.770029e-04   27        24        1         0         
  24    4.667489e-08   9.486544e-05   1.070559e-04   28        25        1         0         
  25    4.056210e-08   8.643914e-05   1.329462e-04   29        26        1         0         
  26    3.367888e-08   7.079788e-05   1.703484e-04   30        27        1         0         
  27    2.923459e-08   1.583589e-04   2.804994e-04   31        28        1         0         
  28    2.347518e-08   6.728010e-05   1.522958e-04   32        29        1         0         
  29    2.012653e-08   6.152365e-05   1.094930e-04   33        30        1         0         
