Starting optimization with 60...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     7.362197e-03   1.852093e-01   
  1     4.449117e-03   1.676282e-01   4.630232e-02   4         2         3         0         
  2     2.604600e-03   7.889724e-02   1.660660e-02   5         3         1         0         
  3     1.551182e-03   7.262060e-02   2.274588e-02   6         4         1         0         
  4     7.801453e-04   6.431274e-02   2.213634e-02   7         5         1         0         
  5     1.367784e-04   4.575123e-02   3.770458e-02   8         6         1         0         
  6     6.368310e-05   2.066709e-02   7.148632e-03   10        7         2         0         
  7     3.666627e-05   7.058020e-03   4.722637e-03   11        8         1         0         
  8     2.942489e-05   5.819672e-03   1.239458e-03   12        9         1         0         
  9     1.038434e-05   4.750030e-03   5.617766e-03   13        10        1         0         
  10    3.722464e-06   3.064823e-03   3.785402e-03   14        11        1         0         
  11    1.920889e-06   2.906799e-03   3.089574e-03   15        12        1         0         
  12    8.237455e-07   1.129250e-03   7.210141e-04   16        13        1         0         
  13    5.492975e-07   8.033661e-04   4.621870e-04   17        14        1         0         
  14    3.253038e-07   4.899223e-04   7.658128e-04   18        15        1         0         
  15    2.680804e-07   7.066966e-04   4.803058e-04   19        16        1         0         
  16    2.086221e-07   3.974633e-04   1.531482e-04   20        17        1         0         
  17    1.394259e-07   3.104821e-04   3.887224e-04   21        18        1         0         
  18    9.345253e-08   2.971249e-04   4.045954e-04   22        19        1         0         
  19    4.408023e-08   2.267841e-04   5.919830e-04   23        20        1         0         
  20    3.817319e-08   2.566258e-04   2.127640e-04   25        21        2         0         
  21    2.951497e-08   9.741802e-05   6.309367e-05   26        22        1         0         
  22    2.595191e-08   7.988449e-05   6.188280e-05   27        23        1         0         
  23    2.138312e-08   9.191124e-05   1.248614e-04   28        24        1         0         
  24    1.668891e-08   7.714295e-05   1.612564e-04   29        25        1         0         
  25    1.494197e-08   1.164343e-04   1.332386e-04   31        26        2         0         
  26    1.231692e-08   4.818793e-05   9.812988e-05   32        27        1         0         
  27    1.109437e-08   4.336840e-05   5.923180e-05   33        28        1         0         
  28    9.765229e-09   3.917299e-05   8.913415e-05   34        29        1         0         
  29    8.486319e-09   2.677809e-05   9.679101e-05   35        30        1         0         
  30    7.293461e-09   4.054840e-05   1.481738e-04   36        31        1         0         
  31    6.530146e-09   4.477581e-05   1.364543e-04   37        32        1         0         
  32    5.838257e-09   3.261700e-05   3.934492e-05   38        33        1         0         
  33    4.178000e-09   3.228861e-05   1.789192e-04   39        34        1         0         
  34    3.255740e-09   3.272284e-05   1.469680e-04   40        35        1         0         
  35    2.662938e-09   6.050351e-05   2.517480e-04   41        36        1         0         
  36    2.076383e-09   1.501157e-05   2.664051e-05   42        37        1         0         
  37    1.947499e-09   1.525119e-05   1.777176e-05   43        38        1         0         
  38    1.637337e-09   2.065400e-05   3.880001e-05   44        39        1         0         
  39    1.225917e-09   2.014215e-05   8.395324e-05   45        40        1         0         
  40    1.090616e-09   4.364221e-05   1.287011e-04   46        41        1         0         
  41    7.963091e-10   6.877834e-06   3.494502e-05   47        42        1         0         
  42    7.642381e-10   5.239981e-06   9.307169e-06   48        43        1         0         
  43    7.183249e-10   6.691276e-06   1.883966e-05   49        44        1         0         
  44    6.277121e-10   8.326042e-06   3.681184e-05   50        45        1         0         
  45    5.129417e-10   1.848416e-05   9.294943e-05   51        46        1         0         
  46    3.937306e-10   7.942875e-06   6.791724e-05   52        47        1         0         
  47    3.501594e-10   3.687755e-06   1.122340e-05   53        48        1         0         
  48    3.310142e-10   3.337956e-06   1.222558e-05   54        49        1         0         
  49    3.179624e-10   4.149066e-06   1.146998e-05   55        50        1         0         
  50    2.905355e-10   6.584178e-06   2.368836e-05   56        51        1         0         
  51    2.183139e-10   1.053706e-05   6.810931e-05   57        52        1         0         
  52    1.273628e-10   1.052926e-05   1.004671e-04   58        53        1         0         
  53    1.099565e-10   1.754643e-05   1.263176e-04   59        54        1         0         
  54    4.233476e-11   3.567637e-06   2.915729e-05   60        55        1         0         
  55    3.644326e-11   1.486829e-06   1.185560e-05   61        56        1         0         
  56    3.511685e-11   8.315370e-07   3.172605e-06   62        57        1         0         
  57    3.432175e-11   8.498190e-07   1.854200e-06   63        58        1         0         
  58    3.221260e-11   1.607916e-06   5.911039e-06   64        59        1         0         
  59    2.986560e-11   2.024763e-06   7.592331e-06   65        60        1         0         
  60    2.718119e-11   1.327604e-06   9.594702e-06   66        61        1         0         
  61    2.589744e-11   5.182335e-07   6.392863e-06   67        62        1         0         
  62    2.519900e-11   7.955740e-07   3.448316e-06   68        63        1         0         
  63    2.442687e-11   1.377483e-06   3.852324e-06   69        64        1         0         
  64    2.246016e-11   2.382531e-06   1.058844e-05   70        65        1         0         
  65    1.854763e-11   3.464724e-06   2.313916e-05   71        66        1         0         
  66    1.194142e-11   3.915595e-06   4.386244e-05   72        67        1         0         
  67    5.443381e-12   2.598356e-06   4.915206e-05   73        68        1         0         
  68    3.412130e-12   1.221014e-06   1.818359e-05   74        69        1         0         
  69    2.945896e-12   2.216866e-07   4.242471e-06   75        70        1         0         
  70    2.901802e-12   1.727575e-07   3.128553e-06   76        71        1         0         
  71    2.875210e-12   1.885540e-07   7.345793e-07   77        72        1         0         
  72    2.722831e-12   3.295360e-07   3.317166e-06   78        73        1         0         
  73    2.443445e-12   4.870056e-07   4.311040e-06   79        74        1         0         
  74    1.970724e-12   7.430702e-07   9.652779e-06   80        75        1         0         
  75    1.823567e-12   7.268893e-07   1.112728e-05   81        76        1         0         
  76    1.495406e-12   2.537944e-07   5.074088e-06   82        77        1         0         
  77    1.438584e-12   1.096703e-07   2.854430e-06   83        78        1         0         
  78    1.418968e-12   9.592974e-08   1.171062e-06   84        79        1         0         
Optimization Terminated with Status: Converged
The process took 3100.26 seconds to run.
Total n_vmult for algorithm 58314
