Starting optimization with 80...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     7.483731e-03   1.711261e-01   
  1     4.549423e-03   1.416904e-01   4.278153e-02   4         2         3         0         
  2     2.986387e-03   7.563619e-02   1.835781e-02   5         3         1         0         
  3     1.901878e-03   7.438674e-02   2.424943e-02   6         4         1         0         
  4     9.565658e-04   6.301459e-02   2.943380e-02   7         5         1         0         
  5     3.530852e-04   6.885451e-02   4.150240e-02   8         6         1         0         
  6     3.254165e-04   6.980289e-02   1.718531e-02   9         7         1         0         
  7     9.849396e-05   1.475720e-02   1.300082e-02   10        8         1         0         
  8     7.507105e-05   1.114485e-02   2.061896e-03   11        9         1         0         
  9     3.045592e-05   6.220396e-03   7.892200e-03   12        10        1         0         
  10    1.728423e-05   4.479401e-03   3.925145e-03   13        11        1         0         
  11    7.697208e-06   6.106291e-03   7.484457e-03   14        12        1         0         
  12    4.408583e-06   4.644692e-03   2.969714e-03   15        13        1         0         
  13    2.331280e-06   1.501845e-03   1.335011e-03   16        14        1         0         
  14    1.750874e-06   1.097735e-03   5.684939e-04   17        15        1         0         
  15    9.703997e-07   9.798126e-04   1.353198e-03   18        16        1         0         
  16    5.640867e-07   6.891867e-04   1.134995e-03   19        17        1         0         
  17    5.160826e-07   9.734950e-04   8.662433e-04   20        18        1         0         
  18    4.058049e-07   3.707384e-04   2.665403e-04   21        19        1         0         
  19    3.572414e-07   3.168342e-04   1.872783e-04   22        20        1         0         
  20    2.493712e-07   4.466883e-04   6.607259e-04   23        21        1         0         
  21    1.527203e-07   4.343552e-04   8.034170e-04   24        22        1         0         
  22    1.160814e-07   5.886446e-04   6.619876e-04   26        23        2         0         
  23    6.935274e-08   1.729697e-04   4.158483e-04   27        24        1         0         
  24    5.867293e-08   1.315695e-04   1.126924e-04   28        25        1         0         
  25    4.759609e-08   1.413567e-04   1.620945e-04   29        26        1         0         
  26    3.245753e-08   1.252618e-04   2.752752e-04   30        27        1         0         
  27    3.038800e-08   3.571378e-04   4.543922e-04   31        28        1         0         
  28    1.753249e-08   6.912770e-05   8.981374e-05   32        29        1         0         
  29    1.587022e-08   5.376588e-05   3.863923e-05   33        30        1         0         
  30    1.270097e-08   5.781296e-05   1.168970e-04   34        31        1         0         
  31    8.424259e-09   6.049953e-05   1.916764e-04   35        32        1         0         
