Starting optimization with 100...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     1.428645e-02   1.270314e-01   
  1     7.675690e-03   1.081770e-01   1.270314e-01   2         2         1         0         
  2     4.164430e-03   5.795144e-02   4.864258e-02   3         3         1         0         
  3     1.297810e-03   4.607188e-02   9.382666e-02   4         4         1         0         
  4     2.769151e-04   1.972694e-02   5.521022e-02   5         5         1         0         
  5     1.290622e-04   1.835037e-02   3.003540e-02   6         6         1         0         
  6     6.765885e-05   6.222570e-03   8.002385e-03   7         7         1         0         
  7     5.554879e-05   3.580470e-03   3.367839e-03   8         8         1         0         
  8     4.331793e-05   2.587065e-03   5.948734e-03   9         9         1         0         
  9     3.506983e-05   2.610994e-03   5.180162e-03   10        10        1         0         
  10    1.836798e-05   4.590453e-03   1.728179e-02   11        11        1         0         
  11    8.360848e-06   3.017206e-03   1.442973e-02   12        12        1         0         
  12    4.179651e-06   1.164838e-03   2.400397e-03   13        13        1         0         
  13    2.846245e-06   6.827465e-04   2.234223e-03   14        14        1         0         
  14    2.176614e-06   6.269860e-04   1.646616e-03   15        15        1         0         
  15    1.662830e-06   1.376960e-03   4.711478e-03   16        16        1         0         
  16    9.719538e-07   4.242937e-04   1.098664e-03   17        17        1         0         
  17    8.297375e-07   3.514085e-04   5.047604e-04   18        18        1         0         
  18    4.699749e-07   2.783038e-04   2.004333e-03   19        19        1         0         
  19    4.238326e-07   7.595000e-04   2.484349e-03   20        20        1         0         
  20    2.280001e-07   1.769014e-04   6.132594e-04   21        21        1         0         
  21    1.981701e-07   1.246715e-04   2.599057e-04   22        22        1         0         
  22    1.538869e-07   1.218959e-04   6.989736e-04   23        23        1         0         
  23    1.176309e-07   1.180862e-04   7.614436e-04   24        24        1         0         
  24    1.145167e-07   2.153479e-04   9.919975e-04   25        25        1         0         
  25    9.168265e-08   6.946508e-05   2.734201e-04   26        26        1         0         
  26    8.431733e-08   6.391124e-05   1.450551e-04   27        27        1         0         
  27    6.197653e-08   9.756582e-05   6.725486e-04   28        28        1         0         
  28    3.825379e-08   1.022597e-04   1.006883e-03   29        29        1         0         
  29    2.998071e-08   1.484712e-04   1.625336e-03   30        30        1         0         
  30    2.047675e-08   1.052734e-04   3.682691e-04   31        31        1         0         
  31    1.337369e-08   2.518998e-05   3.776494e-04   32        32        1         0         
  32    1.259884e-08   1.697113e-05   6.419971e-05   33        33        1         0         
  33    1.121970e-08   2.617821e-05   1.728606e-04   34        34        1         0         
  34    9.685775e-09   3.750088e-05   2.037748e-04   35        35        1         0         
  35    6.623553e-09   4.572399e-05   4.840686e-04   36        36        1         0         
  36    6.556633e-09   6.822281e-05   3.724864e-04   38        37        2         0         
  37    4.236292e-09   2.240619e-05   8.064194e-05   39        38        1         0         
  38    3.807727e-09   9.472845e-06   5.955827e-05   40        39        1         0         
  39    3.626509e-09   9.007792e-06   4.459816e-05   41        40        1         0         
  40    3.430080e-09   1.228836e-05   4.859546e-05   42        41        1         0         
  41    2.981803e-09   1.648027e-05   1.257887e-04   43        42        1         0         
  42    2.446899e-09   1.378913e-05   1.777664e-04   44        43        1         0         
  43    2.124808e-09   1.261892e-05   1.987048e-04   45        44        1         0         
  44    2.001363e-09   9.874211e-06   8.175063e-05   46        45        1         0         
  45    1.923110e-09   4.534185e-06   3.913937e-05   47        46        1         0         
  46    1.875560e-09   3.952767e-06   2.313950e-05   48        47        1         0         
  47    1.793867e-09   5.521526e-06   5.250349e-05   49        48        1         0         
  48    1.644829e-09   7.597994e-06   1.168847e-04   50        49        1         0         
  49    1.461629e-09   1.313072e-05   2.338029e-04   51        50        1         0         
  50    1.279428e-09   7.526806e-06   2.223284e-04   52        51        1         0         
  51    1.184125e-09   4.077302e-06   2.889385e-05   53        52        1         0         
