********************************************************
Biros and Ghattas Full-space method...with P2 preconditioner
Using 9060 design variables: 9000 simulation variables and 60 control variables.
Line Search: Backtracking satisfying Null Curvature Condition
********************************************************
Iteration         Func. val.        ||Lagr. grad.||   ||Constraint||    ||Search dir||    n_kkt_iter        n_linesearches    n_grad            
1                 0.000286761       0.00317809        0.00804982        5.50385           47                2                 0                 
2                 1.96095e-05       0.00229062        0.00778846        34.4393           47                1                 0                 
3                 4.78474e-06       0.00141091        0.00583168        17.5649           51                2                 0                 
4                 1.15141e-06       0.000334549       0.000194371       11.2232           47                1                 0                 
5                 4.03709e-08       3.39734e-05       0.000314497       10.0247           51                1                 0                 
6                 3.60368e-09       4.62888e-06       6.87982e-07       0.689726          47                1                 0                 
7                 6.40665e-10       5.26038e-08       1.23553e-07       2.94604           51                1                 0                 
8                 4.65268e-10       1.3805e-09        4.56202e-09       0.369536          43                1                 0                 
9                 3.94711e-10       1.0521e-09        2.21856e-09       0.1847            47                1                 0                 
10                3.42551e-10       1.31037e-09       1.66749e-09       0.232849          47                1                 0                 
11                4.8342e-11        3.82304e-09       8.37823e-09       1.79796           51                1                 0                 
12                3.46562e-11       2.27803e-10       3.65299e-10       0.283057          47                1                 0                 
13                2.8103e-11        3.61275e-10       3.26933e-10       0.163559          47                1                 0                 
14                2.64817e-11       1.6897e-10        7.57209e-11       0.0255672         47                1                 0                 
15                1.916e-11         4.11988e-10       2.27382e-10       0.24364           51                1                 0                 
16                1.42475e-11       1.55043e-10       1.7986e-10        0.0769424         51                1                 0                 
17                1.37602e-11       1.13139e-10       1.29513e-11       0.0172223         47                1                 0                 
18                1.34149e-11       5.49006e-11       8.20421e-12       0.00784751        47                1                 0                 
Optimization Terminated with Status: Converged
The process took 1202.9 seconds to run.
