Starting optimization with 80...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     1.459049e-03   6.442620e-03   
  1     1.417870e-03   6.340733e-03   6.442620e-03   2         2         1         0         
  2     4.196618e-05   7.312145e-04   4.053179e-01   3         3         1         0         
  3     1.550934e-05   2.754136e-04   5.818637e-02   4         4         1         0         
  4     8.582448e-06   2.093672e-04   3.694560e-02   5         5         1         0         
  5     5.267472e-06   3.134745e-04   5.295889e-02   6         6         1         0         
  6     2.654063e-06   1.094060e-04   2.212739e-02   7         7         1         0         
  7     2.072176e-06   7.894428e-05   7.307849e-03   8         8         1         0         
  8     1.175170e-06   6.025979e-05   1.948239e-02   9         9         1         0         
  9     6.283048e-07   4.368385e-05   2.034401e-02   10        10        1         0         
  10    5.169682e-07   7.868628e-05   1.233148e-02   12        11        2         0         
  11    3.256178e-07   2.939365e-05   8.446500e-03   13        12        1         0         
  12    2.508774e-07   2.249144e-05   5.023553e-03   14        13        1         0         
  13    1.663291e-07   1.998754e-05   8.372248e-03   15        14        1         0         
  14    9.058504e-08   1.421992e-05   9.120905e-03   16        15        1         0         
  15    4.298351e-08   8.725234e-06   1.077192e-02   17        16        1         0         
  16    2.946478e-08   9.544683e-06   5.435761e-03   18        17        1         0         
  17    2.055985e-08   7.288319e-06   2.252618e-03   19        18        1         0         
  18    1.234670e-08   5.795066e-06   2.639949e-03   20        19        1         0         
  19    6.035918e-09   3.537365e-06   5.298716e-03   21        20        1         0         
  20    5.659957e-09   2.909974e-06   9.707360e-04   23        21        2         0         
  21    5.225817e-09   5.819207e-07   5.090958e-04   24        22        1         0         
  22    5.186208e-09   5.462908e-07   9.222416e-05   25        23        1         0         
  23    4.950575e-09   1.038353e-06   6.507536e-04   26        24        1         0         
  24    4.551189e-09   1.751275e-06   1.260910e-03   27        25        1         0         
  25    3.619649e-09   2.657788e-06   3.359128e-03   28        26        1         0         
  26    2.410578e-09   2.922130e-06   5.350371e-03   29        27        1         0         
  27    1.888348e-09   3.347719e-06   5.257060e-03   31        28        2         0         
  28    1.095161e-09   1.189211e-06   9.077619e-04   32        29        1         0         
  29    8.839020e-10   4.681104e-07   4.507146e-04   33        30        1         0         
  30    8.362783e-10   4.858499e-07   1.758400e-04   34        31        1         0         
