Starting optimization with 40...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     1.456825e-03   7.436021e-03   
  1     1.402183e-03   7.260600e-03   7.436021e-03   2         2         1         0         
  2     1.680140e-04   1.049033e-03   3.163499e-01   3         3         1         0         
  3     1.200982e-04   6.538538e-04   6.343124e-02   4         4         1         0         
  4     8.220039e-05   5.406591e-04   8.863268e-02   5         5         1         0         
  5     5.417340e-05   3.723499e-04   1.015611e-01   6         6         1         0         
  6     3.634297e-05   3.484388e-04   1.217116e-01   7         7         1         0         
  7     3.014001e-05   2.422720e-04   6.395529e-02   9         8         2         0         
  8     2.626276e-05   1.685989e-04   3.350298e-02   10        9         1         0         
  9     2.166300e-05   1.562910e-04   5.620050e-02   11        10        1         0         
  10    1.780936e-05   2.489185e-04   8.248773e-02   12        11        1         0         
  11    1.475602e-05   1.407920e-04   7.718821e-02   13        12        1         0         
  12    1.343014e-05   7.807289e-05   1.501059e-02   14        13        1         0         
  13    1.229774e-05   7.763371e-05   2.441002e-02   15        14        1         0         
  14    1.088188e-05   1.000782e-04   3.764906e-02   16        15        1         0         
  15    7.291508e-06   1.276551e-04   1.221928e-01   17        16        1         0         
  16    5.539513e-06   1.545231e-04   1.205863e-01   18        17        1         0         
  17    4.399776e-06   4.017010e-05   4.706254e-02   19        18        1         0         
  18    4.207170e-06   2.224093e-05   1.751350e-02   20        19        1         0         
  19    4.056543e-06   2.853163e-05   1.096166e-02   21        20        1         0         
  20    3.721514e-06   5.029173e-05   2.573119e-02   22        21        1         0         
  21    2.969509e-06   8.149375e-05   6.783942e-02   23        22        1         0         
  22    1.711683e-06   9.906013e-05   1.365587e-01   24        23        1         0         
  23    1.398096e-06   1.258447e-04   9.417869e-02   26        24        2         0         
  24    3.474377e-07   5.649675e-05   1.036170e-01   27        25        1         0         
  25    1.024704e-07   1.713119e-05   2.692365e-02   28        26        1         0         
  26    7.507932e-08   2.533401e-06   8.062261e-03   29        27        1         0         
  27    7.425957e-08   1.382976e-06   2.195134e-03   30        28        1         0         
  28    7.370270e-08   1.625403e-06   1.181905e-03   31        29        1         0         
