********************************************************
Biros and Ghattas Full-space method...with P2 preconditioner
Using 16060 design variables: 16000 simulation variables and 60 control variables.
Line Search: Backtracking satisfying Null Curvature Condition
********************************************************
Iteration         Func. val.        ||Lagr. grad.||   ||Constraint||    ||Search dir||    n_kkt_iter        n_linesearches    n_grad            
1                 0.000286134       0.003416          0.00664705        6.24217           47                2                 0                 
2                 0.000189159       0.0024123         0.00651711        32.8938           47                3                 0                 
3                 1.32424e-05       0.00299181        0.00406235        35.4513           51                1                 0                 
4                 6.01297e-06       0.0020799         0.00459177        19.923            51                2                 0                 
5                 3.12109e-06       0.000544181       0.000467263       4.37142           47                1                 0                 
6                 4.20851e-06       0.000237342       0.000554156       13.8348           47                2                 0                 
7                 1.68109e-06       0.000144391       0.000383841       10.8242           51                1                 0                 
8                 1.49475e-06       0.000416533       0.000331039       10.7438           47                1                 0                 
9                 1.13894e-07       3.89725e-05       0.000101216       10.8547           51                1                 0                 
10                9.90115e-09       5.45191e-06       1.26087e-05       1.95106           47                1                 0                 
11                3.75488e-09       3.93266e-07       3.49846e-07       1.37941           47                1                 0                 
12                4.69543e-10       9.42601e-08       1.63693e-07       1.88303           51                1                 0                 
13                3.38113e-10       3.28811e-09       5.74249e-09       0.278343          47                1                 0                 
14                2.58637e-10       1.54438e-09       3.31309e-09       0.409221          47                1                 0                 
15                2.06413e-10       1.16233e-09       2.02294e-09       0.148317          47                1                 0                 
16                1.78856e-10       5.06064e-10       9.79532e-10       0.213557          47                1                 0                 
17                1.56335e-10       4.48712e-10       8.3689e-10        0.0987862         47                1                 0                 
18                1.4382e-10        4.8831e-10        5.13288e-10       0.102985          47                1                 0                 
19                1.33074e-10       4.1969e-10        3.70029e-10       0.0521673         47                1                 0                 
20                1.24075e-10       4.38912e-10       2.90027e-10       0.0780963         47                1                 0                 
21                1.15928e-10       3.78381e-10       2.36852e-10       0.0449708         47                1                 0                 
22                1.08462e-10       4.00463e-10       2.44943e-10       0.0714845         47                1                 0                 
23                1.01686e-10       3.37272e-10       1.9879e-10        0.0405472         47                1                 0                 
24                9.54581e-11       3.68244e-10       2.03975e-10       0.0657223         47                1                 0                 
25                8.97927e-11       3.01982e-10       1.65484e-10       0.0366681         47                1                 0                 
26                8.45745e-11       3.39612e-10       1.71124e-10       0.0605631         47                1                 0                 
27                7.98164e-11       2.71359e-10       1.38737e-10       0.0332485         47                1                 0                 
28                7.54238e-11       3.14198e-10       1.44332e-10       0.05594           47                1                 0                 
29                7.14091e-11       2.42984e-10       1.16885e-10       0.0302268         47                1                 0                 
30                6.76933e-11       2.91274e-10       1.22467e-10       0.0518043         47                1                 0                 
31                6.42887e-11       2.18915e-10       9.91114e-11       0.0275604         47                1                 0                 
32                2.06079e-11       3.57586e-10       8.3125e-10        0.699642          57                2                 0                 
33                3.34321e-12       4.46638e-10       1.09064e-09       0.877857          58                1                 0                 
34                3.34256e-12       9.21254e-12       1.81613e-13       8.0589e-05        42                1                 0                 
Optimization Terminated with Status: Converged
The process took 10535.3 seconds to run.
