********************************************************
Biros and Ghattas Full-space method...with P4 preconditioner
Using 16080 design variables: 16000 simulation variables and 80 control variables.
Line Search: Backtracking satisfying Null Curvature Condition
********************************************************
Iteration         Func. val.        ||Lagr. grad.||   ||Constraint||    ||Search dir||    n_kkt_iter        n_linesearches    n_grad            
1                 0.000286342       0.00344661        0.00666721        5.92721           48                2                 0                 
2                 6.95384e-06       0.00184256        0.00578558        16.5216           46                1                 0                 
3                 1.02406e-05       0.00034187        0.00137721        26.7029           46                1                 0                 
4                 4.71819e-06       0.000696337       0.00122648        5.95338           46                3                 0                 
5                 1.21838e-06       9.70033e-05       0.000271104       6.79911           46                1                 0                 
6                 4.70573e-07       6.42012e-05       0.000114916       7.9995            46                1                 0                 
7                 1.17643e-07       6.78735e-05       7.16467e-05       4.85206           46                1                 0                 
8                 2.90724e-09       1.7845e-06        1.26473e-05       1.46134           46                1                 0                 
9                 2.44632e-10       2.50404e-07       1.57208e-07       1.08073           48                1                 0                 
10                1.36655e-10       1.54836e-09       3.07361e-09       0.344338          48                1                 0                 
11                8.84285e-11       1.03598e-09       3.56934e-09       0.20128           48                1                 0                 
12                6.26351e-11       3.53492e-10       7.13826e-10       0.174895          48                1                 0                 
13                4.71547e-11       3.81046e-10       1.09074e-09       0.118777          48                1                 0                 
14                3.67602e-11       2.35788e-10       3.34841e-10       0.114563          48                1                 0                 
15                2.94194e-11       2.16441e-10       4.82666e-10       0.0831321         48                1                 0                 
16                2.40148e-11       1.73453e-10       1.89375e-10       0.0836505         48                1                 0                 
17                1.99594e-11       1.46881e-10       2.56511e-10       0.0621828         48                1                 0                 
18                1.68424e-11       1.33621e-10       1.11142e-10       0.0641019         48                1                 0                 
19                1.44142e-11       1.08908e-10       1.51743e-10       0.0483424         48                1                 0                 
20                1.24788e-11       1.07348e-10       6.84083e-11       0.0509855         48                1                 0                 
21                1.09188e-11       8.55721e-11       9.72633e-11       0.0388942         48                1                 0                 
Optimization Terminated with Status: Converged
The process took 10138.6 seconds to run.
