Starting optimization with 40...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     1.458548e-03   7.441476e-03   
  1     1.403827e-03   7.265861e-03   7.441476e-03   2         2         1         0         
  2     1.682583e-04   1.050682e-03   3.164402e-01   3         3         1         0         
  3     1.202057e-04   6.544855e-04   6.352746e-02   4         4         1         0         
  4     8.225754e-05   5.408355e-04   8.865048e-02   5         5         1         0         
  5     5.419864e-05   3.712316e-04   1.015464e-01   6         6         1         0         
  6     3.539198e-05   2.783467e-04   1.204513e-01   7         7         1         0         
  7     3.039244e-05   3.172366e-04   6.659659e-02   9         8         2         0         
  8     2.557942e-05   1.697595e-04   3.968951e-02   10        9         1         0         
  9     2.211495e-05   1.510243e-04   4.235590e-02   11        10        1         0         
  10    1.772685e-05   1.463070e-04   6.858529e-02   12        11        1         0         
  11    1.409269e-05   1.944780e-04   9.736792e-02   13        12        1         0         
  12    1.353653e-05   2.285525e-04   8.030646e-02   14        13        1         0         
  13    1.156810e-05   7.883554e-05   3.589369e-02   15        14        1         0         
  14    1.084119e-05   7.165038e-05   1.255146e-02   16        15        1         0         
  15    8.461537e-06   1.263440e-04   6.200768e-02   17        16        1         0         
  16    6.202407e-06   1.326094e-04   9.178937e-02   18        17        1         0         
  17    4.924401e-06   1.260840e-04   1.128334e-01   19        18        1         0         
  18    4.122349e-06   4.486506e-05   4.444098e-02   20        19        1         0         
  19    3.902502e-06   3.579924e-05   1.501858e-02   21        20        1         0         
  20    3.487632e-06   5.008417e-05   2.462238e-02   22        21        1         0         
  21    2.628237e-06   8.106486e-05   6.710522e-02   23        22        1         0         
  22    1.365952e-06   9.368217e-05   1.319032e-01   24        23        1         0         
  23    3.097670e-07   5.153826e-05   1.507249e-01   25        24        1         0         
  24    1.256949e-07   1.811445e-05   4.559733e-02   26        25        1         0         
  25    9.995305e-08   5.252530e-06   6.672969e-03   27        26        1         0         
  26    9.759421e-08   1.544437e-06   4.443327e-03   28        27        1         0         
  27    9.718663e-08   1.265451e-06   1.014578e-03   29        28        1         0         
  28    9.640022e-08   1.794735e-06   1.188888e-03   30        29        1         0         
  29    9.453548e-08   3.298256e-06   2.604968e-03   31        30        1         0         
  30    8.960369e-08   6.036329e-06   7.351465e-03   32        31        1         0         
