Starting optimization with 20...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  82    3.178483e-13   2.630727e-10   7.721472e-04   84        83        1         0         
  83    3.177751e-13   1.929440e-10   1.175644e-04   85        84        1         0         
  84    3.177123e-13   1.595715e-10   4.095837e-05   86        85        1         0         
  85    3.173867e-13   2.088250e-10   7.402122e-05   87        86        1         0         
  86    3.160487e-13   5.854125e-10   1.863465e-04   88        87        1         0         
  87    3.130437e-13   1.165216e-09   2.432764e-04   89        88        1         0         
  88    3.048881e-13   2.123928e-09   3.766145e-04   90        89        1         0         
  89    2.852029e-13   3.621590e-09   4.933116e-04   91        90        1         0         
  90    2.405985e-13   5.386771e-09   6.547517e-04   92        91        1         0         
  91    1.608928e-13   8.336425e-09   1.223373e-03   93        92        1         0         
  92    6.763716e-14   5.574902e-09   2.206325e-03   94        93        1         0         
  93    1.127061e-14   4.258932e-09   2.437552e-03   95        94        1         0         
  94    8.264491e-16   1.985804e-09   8.573796e-04   96        95        1         0         
  95    3.028533e-17   7.848452e-11   1.275263e-04   97        96        1         0         
Optimization Terminated with Status: Converged
The process took 1044.64 seconds to run.
