Starting optimization with 100...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     1.445124e-03   6.072477e-03   
  1     1.408505e-03   5.988308e-03   6.072477e-03   2         2         1         0         
  2     1.976859e-04   9.800528e-03   4.511679e-01   3         3         1         0         
  3     9.420497e-05   2.934665e-03   1.627596e-01   5         4         2         0         
  4     1.337429e-05   8.285446e-04   8.609172e-02   6         5         1         0         
  5     7.397435e-06   4.421709e-04   1.643096e-02   7         6         1         0         
  6     4.302411e-06   1.732037e-04   1.187348e-02   8         7         1         0         
  7     3.038410e-06   1.871595e-04   1.130631e-02   9         8         1         0         
  8     2.264208e-06   1.871565e-04   9.730950e-03   10        9         1         0         
  9     1.564160e-06   2.259990e-04   1.854207e-02   11        10        1         0         
  10    1.026022e-06   8.041950e-05   1.019579e-02   12        11        1         0         
  11    8.835247e-07   4.640988e-05   3.018651e-03   13        12        1         0         
  12    7.572460e-07   3.352133e-05   4.522851e-03   14        13        1         0         
  13    6.489251e-07   3.324166e-05   5.851388e-03   15        14        1         0         
  14    5.158466e-07   2.494885e-05   1.008651e-02   16        15        1         0         
  15    4.379094e-07   2.393331e-05   1.024879e-02   17        16        1         0         
  16    3.869611e-07   1.592362e-05   6.558619e-03   18        17        1         0         
  17    3.381978e-07   1.727854e-05   8.463916e-03   19        18        1         0         
  18    2.818542e-07   2.410212e-05   1.241985e-02   20        19        1         0         
  19    2.221467e-07   1.592540e-05   1.393426e-02   21        20        1         0         
  20    1.704136e-07   1.263015e-05   1.209295e-02   22        21        1         0         
  21    1.165728e-07   1.540689e-05   1.455545e-02   23        22        1         0         
  22    9.625448e-08   2.588207e-05   1.804073e-02   24        23        1         0         
  23    6.501987e-08   7.451320e-06   2.777391e-03   25        24        1         0         
  24    5.971315e-08   3.692679e-06   1.541318e-03   26        25        1         0         
