Starting optimization with 20...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     1.418661e-03   8.625717e-03   
  1     1.345626e-03   8.308970e-03   8.625717e-03   2         2         1         0         
  2     3.035198e-04   1.279273e-03   2.349364e-01   3         3         1         0         
  3     2.543349e-04   9.347278e-04   5.045464e-02   4         4         1         0         
  4     1.968198e-04   7.862315e-04   9.778094e-02   5         5         1         0         
  5     1.564638e-04   5.763264e-04   1.050803e-01   6         6         1         0         
  6     1.287744e-04   5.983250e-04   1.502267e-01   7         7         1         0         
  7     1.128716e-04   3.785739e-04   9.113142e-02   8         8         1         0         
  8     1.034100e-04   3.123132e-04   4.136174e-02   9         9         1         0         
  9     8.481558e-05   2.832437e-04   1.555890e-01   10        10        1         0         
  10    8.382402e-05   5.047014e-04   1.239360e-01   11        11        1         0         
  11    7.707999e-05   1.534492e-04   2.879334e-02   12        12        1         0         
  12    7.530156e-05   1.174390e-04   1.631387e-02   13        13        1         0         
  13    7.086307e-05   2.310404e-04   6.390637e-02   14        14        1         0         
  14    6.350344e-05   3.821707e-04   1.290475e-01   15        15        1         0         
  15    4.961675e-05   4.852453e-04   2.843724e-01   16        16        1         0         
  16    3.672280e-05   3.268023e-04   3.067676e-01   17        17        1         0         
  17    3.426868e-05   1.867803e-04   1.341864e-01   18        18        1         0         
  18    3.262510e-05   3.682976e-05   2.818799e-02   19        19        1         0         
  19    3.248837e-05   2.755348e-05   1.589892e-02   20        20        1         0         
  20    3.235452e-05   4.177733e-05   1.337719e-02   21        21        1         0         
  21    3.199115e-05   7.720898e-05   2.786461e-02   22        22        1         0         
  22    3.110371e-05   1.344923e-04   6.391604e-02   23        23        1         0         
  23    2.892732e-05   2.190011e-04   1.632951e-01   24        24        1         0         
  24    2.418842e-05   3.168831e-04   3.810622e-01   25        25        1         0         
  25    1.591902e-05   3.692009e-04   7.245162e-01   26        26        1         0         
  26    7.418591e-06   3.017372e-04   9.508129e-01   27        27        1         0         
  27    4.582690e-06   2.625290e-04   3.462880e-01   29        28        2         0         
  28    1.865528e-06   7.376005e-05   8.080073e-02   30        29        1         0         
  29    1.461817e-06   1.366731e-05   9.600882e-02   31        30        1         0         
  30    1.442765e-06   1.405724e-05   1.109572e-02   32        31        1         0         
  31    1.311661e-06   2.119537e-05   4.966117e-02   33        32        1         0         
  32    1.125894e-06   2.950528e-05   3.216495e-02   34        33        1         0         
  33    8.807467e-07   2.523720e-05   6.223730e-02   35        34        1         0         
  34    7.194902e-07   1.608274e-05   8.207287e-02   36        35        1         0         
  35    6.077691e-07   1.915985e-05   6.023519e-02   37        36        1         0         
  36    4.274810e-07   2.643290e-05   7.206403e-02   38        37        1         0         
  37    1.767300e-07   2.196390e-05   6.425063e-02   39        38        1         0         
  38    5.216969e-08   1.121638e-05   7.047145e-02   40        39        1         0         
  39    4.055266e-08   8.874386e-06   4.317021e-02   41        40        1         0         
  40    3.221455e-08   5.108407e-07   1.553179e-02   42        41        1         0         
  41    3.218142e-08   1.576493e-07   1.201809e-03   43        42        1         0         
  42    3.217470e-08   1.552595e-07   4.184233e-04   44        43        1         0         
  43    3.215301e-08   2.378928e-07   6.828040e-04   45        44        1         0         
  44    3.207849e-08   5.171209e-07   1.617603e-03   46        45        1         0         
  45    3.190361e-08   9.526624e-07   2.865586e-03   47        46        1         0         
  46    3.143323e-08   1.684445e-06   6.680496e-03   48        47        1         0         
  47    3.026718e-08   2.782333e-06   1.576096e-02   49        48        1         0         
  48    2.748929e-08   4.285895e-06   3.758732e-02   50        49        1         0         
  49    2.184209e-08   5.738740e-06   7.906271e-02   51        50        1         0         
  50    1.357722e-08   5.753872e-06   1.238331e-01   52        51        1         0         
  51    7.024909e-09   1.067242e-05   2.097317e-01   53        52        1         0         
  52    1.068510e-09   2.220800e-06   1.860649e-02   54        53        1         0         
  53    1.890812e-10   1.299811e-06   1.137257e-02   55        54        1         0         
  54    4.575005e-11   7.370903e-07   5.097066e-03   56        55        1         0         
  55    1.011737e-11   2.275316e-07   2.606917e-03   57        56        1         0         
  56    4.155305e-12   1.893220e-08   1.755539e-03   58        57        1         0         
  57    3.876667e-12   6.758499e-09   4.544309e-04   59        58        1         0         
  58    3.871315e-12   4.613713e-10   4.142266e-05   60        59        1         0         
  59    3.871251e-12   2.716557e-10   9.914405e-06   61        60        1         0         
  60    3.871227e-12   3.181467e-10   3.063428e-06   62        61        1         0         
  61    3.870924e-12   9.973517e-10   1.759166e-05   63        62        1         0         
  62    3.870336e-12   1.895142e-09   2.061450e-05   64        63        1         0         
  63    3.868585e-12   3.583796e-09   3.940723e-05   65        64        1         0         
  64    3.864226e-12   6.179271e-09   6.518560e-05   66        65        1         0         
  65    3.852684e-12   1.041760e-08   1.253514e-04   67        66        1         0         
  66    3.823239e-12   1.701801e-08   2.604964e-04   68        67        1         0         
  67    3.749630e-12   2.687369e-08   5.896447e-04   69        68        1         0         
  68    3.579705e-12   3.955396e-08   1.323224e-03   70        69        1         0         
  69    3.252218e-12   4.976017e-08   2.605083e-03   71        70        1         0         
  70    2.825245e-12   4.477241e-08   3.616021e-03   72        71        1         0         
  71    2.546472e-12   2.194892e-08   2.445166e-03   73        72        1         0         
  72    2.478278e-12   4.110474e-09   4.114867e-04   74        73        1         0         
  73    2.473079e-12   2.190655e-10   3.776908e-04   75        74        1         0         
  74    2.472931e-12   2.406103e-10   8.874269e-05   76        75        1         0         
  75    2.471987e-12   2.347932e-10   1.311881e-05   77        76        1         0         
  76    2.283943e-12   4.205704e-09   1.684014e-03   78        77        1         0         
  77    2.081607e-12   3.723430e-08   2.259558e-03   79        78        1         0         
  78    1.721312e-12   2.851450e-08   2.626538e-03   80        79        1         0         
  79    3.878624e-13   9.158563e-09   1.590291e-02   81        80        1         0         
  80    5.383400e-14   7.951537e-09   7.833640e-03   82        81        1         0         
