********************************************************
Biros and Ghattas Full-space method...with P4 preconditioner
Using 9060 design variables: 9000 simulation variables and 60 control variables.
Line Search: Backtracking satisfying Null Curvature Condition
********************************************************
Iteration         Func. val.        ||Lagr. grad.||   ||Constraint||    ||Search dir||    n_kkt_iter        n_linesearches    n_grad            
1                 0.000286761       0.0031781         0.00804982        5.50385           40                2                 0                 
2                 1.96105e-05       0.00229067        0.00778859        34.4405           40                1                 0                 
3                 4.69381e-06       0.00139667        0.00582352        16.7812           41                2                 0                 
4                 3.38166e-07       0.000333563       0.000220812       18.041            43                1                 0                 
5                 1.03769e-08       7.05711e-06       4.93137e-05       1.82486           40                1                 0                 
6                 6.80489e-09       3.77816e-07       1.50164e-07       1.08184           40                1                 0                 
7                 1.29051e-09       8.92691e-08       1.67622e-07       4.42499           43                1                 0                 
8                 8.71425e-10       4.34889e-09       1.12137e-08       1.25857           37                1                 0                 
9                 6.55163e-10       2.81088e-09       6.13459e-09       0.197908          40                1                 0                 
10                5.29467e-10       3.52495e-09       5.69252e-09       0.520714          40                1                 0                 
11                4.45637e-10       1.40379e-09       2.67595e-09       0.139996          40                1                 0                 
12                3.4777e-10        2.65302e-09       3.07875e-09       0.528005          40                1                 0                 
13                1.89439e-10       1.67334e-09       4.44742e-09       0.855288          43                1                 0                 
14                1.46922e-10       8.57895e-10       1.49098e-09       0.192509          40                1                 0                 
15                8.03129e-11       7.49211e-10       1.48467e-09       0.924003          43                1                 0                 
16                5.72546e-11       5.10659e-10       7.4205e-10        0.118089          40                1                 0                 
17                5.31471e-11       2.03356e-10       9.68314e-11       0.058491          40                1                 0                 
18                1.21107e-11       2.60218e-10       1.09764e-09       1.17828           43                1                 0                 
19                8.22896e-12       5.20068e-11       1.03553e-10       0.0654609         40                1                 0                 
Optimization Terminated with Status: Converged
The process took 1802.08 seconds to run.
