********************************************************
Biros and Ghattas Full-space method...with P2 preconditioner
Using 16040 design variables: 16000 simulation variables and 40 control variables.
Line Search: Backtracking satisfying Null Curvature Condition
********************************************************
Iteration         Func. val.        ||Lagr. grad.||   ||Constraint||    ||Search dir||    n_kkt_iter        n_linesearches    n_grad            
1                 0.000288264       0.00376101        0.00644701        10.5875           36                2                 0                 
2                 4.8331e-06        0.00166041        0.00577037        14.7129           40                1                 0                 
3                 2.24525e-06       0.000676151       0.000626543       25.6859           40                1                 0                 
4                 8.18389e-07       0.000320067       0.000416674       17.8153           40                1                 0                 
5                 2.96447e-08       2.50632e-05       7.8423e-05        6.2985            40                1                 0                 
6                 1.87429e-09       2.33012e-06       1.16603e-06       2.40543           40                1                 0                 
7                 1.25318e-09       6.95389e-09       1.62978e-08       0.652843          40                1                 0                 
8                 9.77928e-10       5.77498e-09       7.03486e-09       0.452353          36                1                 0                 
9                 7.02331e-10       1.62277e-09       6.24689e-09       0.533848          40                1                 0                 
10                5.69625e-10       3.67331e-09       6.20622e-09       0.231517          36                1                 0                 
11                3.46333e-10       1.21713e-09       5.15254e-09       0.832687          40                1                 0                 
12                2.36277e-10       1.16121e-09       3.02078e-09       0.206056          36                1                 0                 
13                1.57174e-10       8.51366e-10       1.78328e-09       0.585869          40                1                 0                 
14                1.21897e-10       9.53611e-10       1.15707e-09       0.102033          36                1                 0                 
15                7.7842e-11        7.51844e-10       1.71475e-09       0.611549          40                1                 0                 
16                6.38593e-12       3.12659e-09       2.49763e-09       1.43571           44                1                 0                 
17                2.50866e-12       5.94406e-11       1.26627e-10       0.162328          45                1                 0                 
Optimization Terminated with Status: Converged
The process took 4816.05 seconds to run.
