Starting optimization with 80...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     1.445419e-03   6.351865e-03   
  1     1.405385e-03   6.253612e-03   6.351865e-03   2         2         1         0         
  2     6.443487e-05   2.321800e-03   4.151371e-01   3         3         1         0         
  3     2.622086e-05   5.359147e-04   4.356207e-02   6         4         3         0         
  4     1.961576e-05   3.565108e-04   2.483727e-02   7         5         1         0         
  5     1.264110e-05   2.538472e-04   2.683263e-02   8         6         1         0         
  6     4.109397e-06   1.602536e-04   6.291834e-02   9         7         1         0         
  7     3.422499e-06   2.591349e-04   1.521225e-02   11        8         2         0         
  8     2.375430e-06   1.327655e-04   1.349710e-02   12        9         1         0         
  9     1.569692e-06   7.972263e-05   1.569024e-02   13        10        1         0         
  10    1.034077e-06   7.215791e-05   1.619257e-02   14        11        1         0         
  11    6.373348e-07   4.603464e-05   1.442740e-02   15        12        1         0         
  12    3.508595e-07   3.220405e-05   1.680312e-02   16        13        1         0         
  13    2.260765e-07   2.687115e-05   1.180070e-02   17        14        1         0         
  14    1.488703e-07   1.951708e-05   6.613814e-03   18        15        1         0         
  15    9.254903e-08   1.226897e-05   6.883996e-03   19        16        1         0         
  16    5.927989e-08   9.041492e-06   6.077794e-03   20        17        1         0         
  17    3.306474e-08   1.275904e-05   8.212109e-03   21        18        1         0         
  18    1.530286e-08   9.176489e-06   6.393034e-03   22        19        1         0         
  19    7.459717e-09   4.148859e-06   2.494249e-03   23        20        1         0         
  20    5.410144e-09   1.295712e-06   1.237428e-03   24        21        1         0         
  21    5.168428e-09   6.574325e-07   3.268369e-04   25        22        1         0         
  22    5.009916e-09   6.940158e-07   3.688118e-04   26        23        1         0         
  23    4.782140e-09   9.717790e-07   6.197627e-04   27        24        1         0         
  24    4.210300e-09   1.625317e-06   1.892141e-03   28        25        1         0         
  25    3.491317e-09   2.537422e-06   3.989921e-03   29        26        1         0         
  26    2.567076e-09   1.629993e-06   2.528928e-03   30        27        1         0         
  27    1.703069e-09   9.233452e-07   3.051820e-03   31        28        1         0         
  28    1.400794e-09   6.832833e-07   1.359483e-03   32        29        1         0         
  29    1.179796e-09   8.530759e-07   1.406852e-03   33        30        1         0         
  30    1.008575e-09   7.236918e-07   1.241274e-03   34        31        1         0         
  31    8.837789e-10   5.299368e-07   3.884092e-04   35        32        1         0         
  32    6.866018e-10   4.843384e-07   1.114679e-03   36        33        1         0         
  33    5.937308e-10   8.181619e-07   9.043666e-04   37        34        1         0         
  34    5.133547e-10   5.202193e-07   6.480840e-04   38        35        1         0         
  35    4.289198e-10   2.888912e-07   8.800707e-04   39        36        1         0         
  36    4.008723e-10   2.373105e-07   2.951916e-04   40        37        1         0         
  37    3.766406e-10   1.607448e-07   2.961497e-04   41        38        1         0         
  38    3.612509e-10   1.783661e-07   2.405102e-04   42        39        1         0         
  39    3.404278e-10   2.373942e-07   3.671860e-04   43        40        1         0         
  40    3.141835e-10   3.191936e-07   6.837778e-04   44        41        1         0         
  41    3.006353e-10   2.239428e-07   3.871591e-04   45        42        1         0         
  42    2.947786e-10   1.098767e-07   8.211169e-05   46        43        1         0         
  43    2.903420e-10   1.157306e-07   7.890354e-05   47        44        1         0         
  44    2.827326e-10   1.763924e-07   1.453059e-04   48        45        1         0         
  45    2.554889e-10   3.532211e-07   6.435914e-04   49        46        1         0         
  46    2.092170e-10   5.108289e-07   1.309225e-03   50        47        1         0         
  47    1.411868e-10   5.152551e-07   2.284255e-03   51        48        1         0         
  48    1.291120e-10   6.720912e-07   8.122243e-04   54        49        3         0         
  49    7.784911e-11   3.228468e-07   1.625029e-03   55        50        1         0         
  50    5.564498e-11   1.161084e-07   6.804464e-04   56        51        1         0         
  51    4.477302e-11   1.546419e-07   3.163255e-04   57        52        1         0         
  52    3.306167e-11   2.031881e-07   4.414971e-04   58        53        1         0         
  53    2.053694e-11   1.252312e-07   7.199098e-04   59        54        1         0         
  54    1.861699e-11   7.594374e-08   2.502062e-04   60        55        1         0         
  55    1.821546e-11   1.795045e-08   1.784646e-05   61        56        1         0         
  56    1.816819e-11   1.016710e-08   1.288598e-05   62        57        1         0         
  57    1.814039e-11   1.075751e-08   5.263497e-06   63        58        1         0         
  58    1.798158e-11   3.483874e-08   3.108126e-05   64        59        1         0         
  59    1.773824e-11   6.341977e-08   5.049467e-05   65        60        1         0         
  60    1.706486e-11   1.123544e-07   1.480379e-04   66        61        1         0         
  61    1.569696e-11   1.650439e-07   3.179357e-04   67        62        1         0         
  62    1.321382e-11   1.979482e-07   6.191795e-04   68        63        1         0         
  63    1.058608e-11   1.668626e-07   7.433418e-04   69        64        1         0         
  64    1.020441e-11   1.050305e-07   5.428180e-04   70        65        1         0         
  65    9.052884e-12   3.002547e-08   2.016331e-04   71        66        1         0         
  66    8.917509e-12   1.044111e-08   6.332924e-05   72        67        1         0         
  67    8.873900e-12   1.485949e-08   2.491273e-05   73        68        1         0         
  68    8.805672e-12   2.846043e-08   2.529463e-05   74        69        1         0         
  69    8.647055e-12   5.021890e-08   3.416574e-05   75        70        1         0         
  70    8.239809e-12   8.469993e-08   7.930620e-05   76        71        1         0         
  71    7.300154e-12   1.299605e-07   2.206582e-04   77        72        1         0         
  72    5.455049e-12   1.692896e-07   5.322765e-04   78        73        1         0         
  73    2.987051e-12   1.572173e-07   8.829527e-04   79        74        1         0         
  74    1.267467e-12   7.397429e-08   7.515544e-04   80        75        1         0         
  75    9.027636e-13   1.220068e-08   1.742709e-04   81        76        1         0         
  76    8.788700e-13   1.320946e-09   5.701828e-05   82        77        1         0         
  77    8.779373e-13   1.528181e-09   1.861715e-05   83        78        1         0         
  78    8.706477e-13   1.489131e-09   9.344919e-06   84        79        1         0         
