********************************************************
Biros and Ghattas Full-space method...with P4 preconditioner
Using 9100 design variables: 9000 simulation variables and 100 control variables.
Line Search: Backtracking satisfying Null Curvature Condition
********************************************************
Iteration         Func. val.        ||Lagr. grad.||   ||Constraint||    ||Search dir||    n_kkt_iter        n_linesearches    n_grad            
1                 0.000289033       0.00305508        0.00799695        6.60066           51                2                 0                 
2                 3.07144e-06       0.00094326        0.00638837        7.52352           51                1                 0                 
3                 3.06893e-06       0.000809361       0.000291254       3.77663           51                1                 0                 
4                 7.35407e-07       0.000169974       0.000163354       1.7756            51                1                 0                 
5                 2.53059e-07       8.39588e-05       0.000136843       0.807485          51                2                 0                 
6                 4.28514e-08       6.3682e-05        8.6935e-05        1.15218           51                1                 0                 
7                 1.44437e-09       2.58783e-06       9.69274e-06       0.49421           51                1                 0                 
8                 3.98275e-10       9.47393e-08       6.222e-08         0.789197          51                1                 0                 
9                 1.72785e-10       9.2702e-10        6.87791e-09       0.384732          53                1                 0                 
10                9.42744e-11       9.70052e-10       2.63689e-09       0.265397          53                1                 0                 
11                5.7433e-11        3.36649e-10       1.17478e-09       0.180967          53                1                 0                 
12                3.95832e-11       4.10526e-10       5.71795e-10       0.126551          53                1                 0                 
13                2.90051e-11       2.19937e-10       3.37773e-10       0.10245           53                1                 0                 
14                2.25473e-11       2.56212e-10       2.02283e-10       0.0721142         53                1                 0                 
15                1.81636e-11       1.76831e-10       1.27714e-10       0.0635107         53                1                 0                 
16                1.50744e-11       1.88421e-10       8.483e-11         0.0451434         53                1                 0                 
17                1.27555e-11       1.44665e-10       5.6713e-11        0.0438025         53                1                 0                 
18                1.09683e-11       1.41573e-10       4.2728e-11        0.0323584         53                1                 0                 
19                9.53199e-12       1.20105e-10       3.3224e-11        0.0344243         53                1                 0                 
20                8.37726e-12       1.09973e-10       2.63689e-11       0.0254869         53                1                 0                 
21                7.41533e-12       1.05687e-10       2.22884e-11       0.0286533         53                1                 0                 
22                6.62416e-12       8.79976e-11       1.79848e-11       0.0207726         53                1                 0                 
Optimization Terminated with Status: Converged
The process took 2508.9 seconds to run.
