********************************************************
Biros and Ghattas Full-space method...with P4 preconditioner
Using 16100 design variables: 16000 simulation variables and 100 control variables.
Line Search: Backtracking satisfying Null Curvature Condition
********************************************************
Iteration         Func. val.        ||Lagr. grad.||   ||Constraint||    ||Search dir||    n_kkt_iter        n_linesearches    n_grad            
1                 0.000287435       0.00338542        0.00660805        5.73577           50                2                 0                 
2                 3.64055e-06       0.00119892        0.00578209        17.2744           53                1                 0                 
3                 1.15065e-06       0.000471645       0.000125805       12.661            53                1                 0                 
4                 1.76244e-07       2.48363e-05       7.07797e-05       4.85195           53                1                 0                 
5                 6.40219e-08       1.1121e-05        5.20897e-05       5.45303           53                2                 0                 
6                 8.95541e-09       5.80168e-06       3.8605e-06        5.7187            53                1                 0                 
7                 4.61698e-09       5.70026e-08       2.22376e-07       1.50879           53                1                 0                 
8                 2.64191e-09       4.38714e-09       1.19218e-07       1.82877           53                1                 0                 
9                 1.65899e-09       1.48666e-08       7.22746e-08       0.748452          53                1                 0                 
10                1.10657e-09       1.98127e-09       2.51754e-08       0.995374          53                1                 0                 
11                7.79844e-10       4.96377e-09       2.27105e-08       0.443712          53                1                 0                 
12                5.66638e-10       1.32413e-09       7.71783e-09       0.631818          53                1                 0                 
13                4.81126e-10       1.08375e-09       5.1049e-09        0.101895          50                2                 0                 
14                3.22925e-10       1.15531e-09       5.65418e-09       0.460598          53                3                 0                 
15                2.30586e-10       1.24298e-09       6.78314e-09       0.524344          53                1                 0                 
16                1.66615e-10       8.76404e-10       4.22539e-09       0.189968          53                1                 0                 
17                1.23723e-10       7.02472e-10       3.36305e-09       0.347133          53                1                 0                 
18                9.47246e-11       5.64823e-10       1.23527e-09       0.126979          53                1                 0                 
19                8.6382e-11        4.46167e-10       7.77417e-10       0.0675571         50                1                 0                 
20                8.00378e-11       3.57422e-10       3.11895e-10       0.0659273         50                1                 0                 
21                6.44183e-11       4.29234e-10       1.0467e-09        0.214944          53                1                 0                 
22                5.26568e-11       2.35541e-10       5.13313e-10       0.0780941         53                1                 0                 
23                4.34108e-11       3.12321e-10       5.41832e-10       0.1678            53                1                 0                 
24                3.60961e-11       1.81032e-10       3.2778e-10        0.0619421         53                1                 0                 
25                3.02052e-11       2.43065e-10       3.1418e-10        0.134541          53                1                 0                 
26                2.54287e-11       1.48222e-10       2.1602e-10        0.0504994         53                1                 0                 
27                2.15239e-11       1.95068e-10       1.93295e-10       0.109699          53                1                 0                 
28                1.83067e-11       1.25828e-10       1.44498e-10       0.0419493         53                1                 0                 
29                1.56503e-11       1.59282e-10       1.23516e-10       0.0904357         53                1                 0                 
30                1.34333e-11       1.10224e-10       9.71718e-11       0.0354512         53                1                 0                 
31                1.15889e-11       1.31519e-10       8.0823e-11        0.0751601         53                1                 0                 
32                1.00286e-11       1.00117e-10       6.53162e-11       0.0306194         53                1                 0                 
33                8.72243e-12       1.09461e-10       5.35245e-11       0.0628704         53                1                 0                 
34                7.59575e-12       9.5606e-11        4.36577e-11       0.0274387         53                1                 0                 
Optimization Terminated with Status: Converged
The process took 17599.6 seconds to run.
