********************************************************
Biros and Ghattas Full-space method...with P4 preconditioner
Using 9080 design variables: 9000 simulation variables and 80 control variables.
Line Search: Backtracking satisfying Null Curvature Condition
********************************************************
Iteration         Func. val.        ||Lagr. grad.||   ||Constraint||    ||Search dir||    n_kkt_iter        n_linesearches    n_grad            
1                 0.000286882       0.0031869         0.00805681        5.56438           48                2                 0                 
2                 3.00721e-06       0.000718419       0.00643361        6.86797           46                1                 0                 
3                 6.80169e-06       0.00128684        0.000653977       12.2251           46                1                 0                 
4                 1.7848e-06        0.00027503        0.000230667       7.37014           46                1                 0                 
5                 3.9458e-07        7.88946e-05       0.000251836       5.88341           46                1                 0                 
6                 1.25935e-07       6.6654e-05        0.000154157       6.54898           46                1                 0                 
7                 7.74242e-09       8.27126e-06       2.45167e-05       2.64167           46                1                 0                 
8                 9.05878e-10       4.45468e-07       3.7509e-07        1.53487           48                1                 0                 
9                 2.33729e-10       5.60423e-09       2.07276e-08       0.709332          48                1                 0                 
10                6.79611e-11       6.71935e-10       4.43809e-09       0.281111          48                1                 0                 
11                2.43934e-11       5.45639e-10       1.34222e-09       0.185666          48                1                 0                 
12                1.1763e-11        2.09798e-10       3.44205e-10       0.0825239         48                1                 0                 
13                7.01373e-12       1.80188e-10       1.39007e-10       0.0679596         48                1                 0                 
14                4.69802e-12       1.4093e-10        7.42936e-11       0.0421082         48                1                 0                 
15                3.35588e-12       1.07579e-10       3.95593e-11       0.0382595         48                1                 0                 
16                2.33389e-12       1.43481e-10       2.41753e-11       0.0393329         48                1                 0                 
17                1.71796e-12       7.2548e-11        1.43423e-11       0.0271506         48                1                 0                 
Optimization Terminated with Status: Converged
The process took 1811.22 seconds to run.
