********************************************************
Biros and Ghattas Full-space method...with P2 preconditioner
Using 16080 design variables: 16000 simulation variables and 80 control variables.
Line Search: Backtracking satisfying Null Curvature Condition
********************************************************
Iteration         Func. val.        ||Lagr. grad.||   ||Constraint||    ||Search dir||    n_kkt_iter        n_linesearches    n_grad            
1                 0.000286342       0.00344661        0.00666721        5.92721           57                2                 0                 
2                 4.46197e-06       0.00148577        0.0057829         44.131            61                1                 0                 
3                 6.99365e-06       0.00137764        0.000524928       89.3782           61                1                 0                 
4                 2.09305e-06       0.000174544       0.000243541       15.7657           54                1                 0                 
5                 1.00215e-06       2.96454e-05       0.000100317       31.995            54                1                 0                 
6                 1.6691e-07        1.21185e-05       8.67846e-05       58.5207           61                1                 0                 
7                 9.06042e-09       1.18653e-05       1.41953e-05       53.8203           65                1                 0                 
8                 4.8092e-09        7.96891e-08       4.83797e-07       7.38902           61                1                 0                 
9                 3.5901e-09        1.25362e-08       4.41009e-08       2.06919           57                1                 0                 
10                2.44456e-09       5.97261e-09       4.21237e-08       3.84056           61                2                 0                 
11                1.9785e-09        8.14444e-09       3.71564e-08       2.36616           61                1                 0                 
12                1.75613e-09       1.23305e-09       1.42183e-08       0.831954          53                1                 0                 
13                1.23746e-09       1.95047e-09       1.47066e-08       2.60707           61                3                 0                 
14                1.17686e-09       1.2087e-09        3.83328e-09       0.454             57                1                 0                 
15                1.14179e-09       8.237e-10         2.60779e-09       0.20559           53                1                 0                 
16                8.10184e-10       1.25014e-09       6.4349e-09        2.30574           61                3                 0                 
17                6.50051e-10       1.2446e-09        6.56577e-09       1.42563           61                3                 0                 
18                5.49819e-10       1.71215e-09       8.00514e-09       1.6538            61                1                 0                 
19                4.99907e-10       1.39869e-09       3.07079e-09       0.322126          49                1                 0                 
20                4.46595e-10       2.04708e-10       2.65474e-09       0.81697           61                1                 0                 
21                4.25216e-10       1.18086e-09       1.21172e-09       0.231224          49                1                 0                 
22                3.44414e-10       8.37541e-10       3.09279e-09       1.26517           61                2                 0                 
23                3.30902e-10       3.5246e-10        8.71146e-10       0.156816          53                1                 0                 
24                3.24633e-10       1.96996e-10       3.78169e-10       0.0742249         57                1                 0                 
25                2.79614e-10       1.96432e-10       7.1349e-10        0.72288           61                4                 0                 
26                2.77428e-10       1.83651e-10       7.4403e-11        0.0400534         53                1                 0                 
27                2.72128e-10       2.27775e-10       1.39985e-10       0.141292          57                1                 0                 
28                2.67936e-10       1.04934e-10       1.57477e-10       0.0427939         53                1                 0                 
29                2.57298e-10       2.60477e-10       2.97048e-10       0.235204          57                2                 0                 
30                1.33659e-10       6.64832e-10       2.54069e-09       2.89394           61                2                 0                 
31                1.25833e-10       1.71735e-10       3.88612e-10       0.129258          57                1                 0                 
32                1.2437e-10        6.70291e-11       4.38603e-11       0.0273349         53                1                 0                 
Optimization Terminated with Status: Converged
The process took 11035.1 seconds to run.
