run.
Starting optimization with 60...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult   
  0     1.458495e-03   6.826166e-03   
  1     1.412330e-03   6.699932e-03   6.826166e-03   2         2         1         0         3791      
  2     8.466345e-05   8.694241e-04   3.691253e-01   3         3         1         0         7901      
  3     4.740529e-05   4.412595e-04   6.360128e-02   4         4         1         0         11640     
  4     2.864840e-05   3.451792e-04   6.277365e-02   5         5         1         0         15415     
  5     1.497846e-05   2.410918e-04   7.627130e-02   6         6         1         0         19277     
  6     1.158863e-05   2.997392e-04   4.373333e-02   8         7         2         0         25145     
  7     7.907962e-06   1.374316e-04   3.481783e-02   9         8         1         0         28132     
  8     6.124967e-06   1.096152e-04   2.512026e-02   10        9         1         0         31080     
  9     4.274157e-06   9.183794e-05   3.650411e-02   11        10        1         0         34019     
  10    2.771512e-06   9.866583e-05   4.400878e-02   12        11        1         0         36985     
  11    2.261670e-06   9.877450e-05   3.014898e-02   14        12        2         0         42940     
  12    1.835591e-06   4.562096e-05   9.576841e-03   15        13        1         0         45945     
  13    1.571575e-06   4.657965e-05   1.052948e-02   16        14        1         0         49013     
  14    1.171000e-06   5.267549e-05   2.020565e-02   17        15        1         0         52021     
  15    6.830690e-07   3.831484e-05   3.412059e-02   18        16        1         0         55047     
  16    4.615822e-07   2.966801e-05   2.592422e-02   19        17        1         0         58127     
  17    3.126188e-07   2.767261e-05   1.580255e-02   20        18        1         0         61144     
  18    1.553899e-07   3.365363e-05   2.207102e-02   21        19        1         0         64245     
