run.
Starting optimization with 40...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult   
  0     1.458548e-03   7.441476e-03   
  1     1.403827e-03   7.265861e-03   7.441476e-03   2         2         1         0         3818      
  2     1.682583e-04   1.050682e-03   3.164402e-01   3         3         1         0         7242      
  3     1.202057e-04   6.544855e-04   6.352746e-02   4         4         1         0         10969     
  4     8.225754e-05   5.408355e-04   8.865048e-02   5         5         1         0         14633     
  5     5.419864e-05   3.712316e-04   1.015464e-01   6         6         1         0         18414     
  6     3.539198e-05   2.783467e-04   1.204513e-01   7         7         1         0         22195     
  7     3.039244e-05   3.172366e-04   6.659659e-02   9         8         2         0         28998     
  8     2.557942e-05   1.697595e-04   3.968951e-02   10        9         1         0         31925     
  9     2.211495e-05   1.510243e-04   4.235590e-02   11        10        1         0         34846     
  10    1.772685e-05   1.463070e-04   6.858529e-02   12        11        1         0         37770     
  11    1.409269e-05   1.944780e-04   9.736792e-02   13        12        1         0         40697     
  12    1.353653e-05   2.285525e-04   8.030646e-02   14        13        1         0         44478     
  13    1.156810e-05   7.883554e-05   3.589369e-02   15        14        1         0         47396     
  14    1.084119e-05   7.165038e-05   1.255146e-02   16        15        1         0         50413     
  15    8.461537e-06   1.263440e-04   6.200768e-02   17        16        1         0         53340     
  16    6.202407e-06   1.326094e-04   9.178937e-02   18        17        1         0         56309     
  17    4.924401e-06   1.260840e-04   1.128334e-01   19        18        1         0         59245     
  18    4.122349e-06   4.486506e-05   4.444098e-02   20        19        1         0         62217     
  19    3.902502e-06   3.579924e-05   1.501858e-02   21        20        1         0         65282     
  20    3.487632e-06   5.008417e-05   2.462238e-02   22        21        1         0         68356     
  21    2.628237e-06   8.106486e-05   6.710522e-02   23        22        1         0         71382     
  22    1.365952e-06   9.368217e-05   1.319032e-01   24        23        1         0         74357     
  23    3.097670e-07   5.153826e-05   1.507249e-01   25        24        1         0         77383     
  24    1.256949e-07   1.811445e-05   4.559733e-02   26        25        1         0         80385     
  25    9.995305e-08   5.252530e-06   6.672969e-03   27        26        1         0         83414     
  26    9.759421e-08   1.544437e-06   4.443327e-03   28        27        1         0         86593     
  27    9.718663e-08   1.265451e-06   1.014578e-03   29        28        1         0         89832     
  28    9.640022e-08   1.794735e-06   1.188888e-03   30        29        1         0         93053     
  29    9.453548e-08   3.298256e-06   2.604968e-03   31        30        1         0         96250     
  30    8.960369e-08   6.036329e-06   7.351465e-03   32        31        1         0         99429     
  31    7.837331e-08   9.737588e-06   1.808338e-02   33        32        1         0         102575    
  32    5.718385e-08   1.367455e-05   3.946046e-02   34        33        1         0         105631    
  33    3.997214e-08   1.830693e-05   7.149911e-02   35        34        1         0         108702    
  34    1.414290e-08   9.128761e-06   1.306063e-02   36        35        1         0         111815    
  35    3.536443e-09   2.889460e-06   8.369487e-03   37        36        1         0         114943    
  36    2.291419e-09   1.284991e-06   2.915385e-03   38        37        1         0         118143    
  37    1.858031e-09   1.239352e-06   1.186895e-03   39        38        1         0         121370    
  38    1.146960e-09   1.483562e-06   2.123537e-03   40        39        1         0         124555    
  39    6.732116e-10   9.261594e-07   1.567661e-03   41        40        1         0         127803    
  40    6.260592e-10   1.354020e-06   7.600175e-04   42        41        1         0         131102    
  41    5.384178e-10   3.157248e-07   2.411284e-04   43        42        1         0         134428    
  42    5.251217e-10   2.686175e-07   1.125527e-04   44        43        1         0         136822    
  43    4.851722e-10   4.231983e-07   3.137905e-04   45        44        1         0         140109    
  44    4.223530e-10   6.042224e-07   5.381342e-04   46        45        1         0         143369    
  45    3.415579e-10   5.381159e-07   9.081383e-04   47        46        1         0         145658    
  46    3.002295e-10   2.122580e-07   7.221997e-04   48        47        1         0         148921    
  47    2.942610e-10   7.404601e-08   1.700762e-04   49        48        1         0         152286    
  48    2.926417e-10   1.018125e-07   5.193821e-05   50        49        1         0         154704    
  49    2.869583e-10   2.045771e-07   2.081642e-04   51        50        1         0         157095    
  50    2.773325e-10   3.086312e-07   4.014643e-04   52        51        1         0         159453    
  51    2.594951e-10   3.765480e-07   8.509321e-04   53        52        1         0         161796    
  52    2.410990e-10   3.038071e-07   1.124524e-03   54        53        1         0         164121    
  53    2.333209e-10   1.841258e-07   6.541853e-04   55        54        1         0         167417    
  54    2.301091e-10   3.770829e-08   1.387708e-04   56        55        1         0         169832    
  55    2.296504e-10   3.194573e-08   9.867696e-05   57        56        1         0         172250    
  56    2.293382e-10   3.671226e-08   3.774332e-05   58        57        1         0         174662    
  57    2.284307e-10   6.611862e-08   7.219192e-05   59        58        1         0         177065    
  58    2.263015e-10   1.203676e-07   1.582198e-04   60        59        1         0         179462    
  59    2.207135e-10   2.124385e-07   4.466901e-04   61        60        1         0         181841    
  60    2.070028e-10   3.490138e-07   1.192262e-03   62        61        1         0         184202    
  61    1.757798e-10   5.210847e-07   2.932680e-03   63        62        1         0         186545    
  62    1.183281e-10   6.422462e-07   5.882260e-03   64        63        1         0         188840    
  63    4.973913e-11   5.375833e-07   7.823571e-03   65        64        1         0         191126    
  64    1.163746e-11   2.476733e-07   4.664264e-03   66        65        1         0         194404    
