Starting optimization with 40...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult           dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     3.583818e-03   8.914019e-02   
  1     2.951489e-03   1.354780e-01   8.914019e-02   2         2         1         0         1548              6                 1414              2                 0                 
  2     5.023091e-04   2.703994e-02   3.638434e-02   3         3         1         0         2391              10                2170              3                 0                 
  3     2.427893e-04   1.751879e-02   1.250110e-02   4         4         1         0         3610              16                3262              4                 0                 
  4     1.234101e-05   4.916734e-03   2.535044e-02   5         5         1         0         4829              22                4354              5                 0                 
  5     4.067960e-06   2.428829e-03   4.572068e-03   6         6         1         0         6007              27                5425              6                 0                 
  6     2.380678e-06   1.083807e-03   1.615336e-03   7         7         1         0         6990              31                6321              7                 0                 
  7     1.891662e-06   8.131893e-04   6.660217e-04   8         8         1         0         7987              35                7231              8                 0                 
  8     1.070112e-06   7.185896e-04   2.150388e-03   9         9         1         0         8970              39                8127              9                 0                 
  9     8.491912e-07   1.287310e-03   1.949291e-03   10        10        1         0         9995              43                9065              10                0                 
  10    5.170583e-07   4.991270e-04   3.989944e-04   11        11        1         0         11048             47                10031             11                0                 
  11    3.731572e-07   2.849604e-04   5.926732e-04   12        12        1         0         12122             51                11018             12                0                 
  12    2.963500e-07   2.783525e-04   5.786964e-04   13        13        1         0         13210             55                12019             13                0                 
  13    1.694406e-07   2.392116e-04   1.021741e-03   14        14        1         0         14256             59                12978             14                0                 
  14    1.107607e-07   3.687215e-04   1.507228e-03   15        15        1         0         15344             63                13979             15                0                 
