run.
Starting optimization with 100...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult   dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     1.456094e-03   6.153204e-03   
  1     1.418500e-03   6.066176e-03   6.153204e-03   2         2         1         0         2681      6                 1587              2                 0                 
  2     2.279964e-05   6.346702e-04   4.310910e-01   3         3         1         0         5796      13                3435              3                 0                 
  3     3.811773e-06   1.805845e-04   5.252951e-02   4         4         1         0         8533      19                5085              4                 0                 
  4     2.407896e-06   2.062348e-04   2.143868e-02   5         5         1         0         10595     24                6240              5                 0                 
  5     1.335612e-06   9.670353e-05   8.999211e-03   6         6         1         0         12726     29                7464              6                 0                 
  6     6.323640e-07   6.106495e-05   1.297207e-02   7         7         1         0         14872     34                8703              7                 0                 
  7     3.490049e-07   4.002056e-05   9.906752e-03   8         8         1         0         17015     39                9939              8                 0                 
  8     1.874081e-07   4.794949e-05   9.943289e-03   9         9         1         0         19152     44                11169             9                 0                 
  9     1.275561e-07   4.327888e-05   1.005820e-02   10        10        1         0         21265     49                12375             10                0                 
  10    8.068816e-08   1.319781e-05   2.964087e-03   11        11        1         0         23447     54                13650             11                0                 
  11    7.078820e-08   1.013822e-05   1.268993e-03   12        12        1         0         25755     59                15051             12                0                 
  12    5.752292e-08   9.889951e-06   2.222272e-03   13        13        1         0         28066     64                16455             13                0                 
  13    4.146107e-08   7.921715e-06   3.718543e-03   14        14        1         0         30338     69                17820             14                0                 
  14    3.037890e-08   4.951968e-06   3.896014e-03   15        15        1         0         32610     74                19185             15                0                 
  15    2.424893e-08   5.916977e-06   3.968263e-03   16        16        1         0         34912     79                20580             16                0                 
  16    2.068021e-08   5.463766e-06   2.447495e-03   17        17        1         0         37151     84                21912             17                0                 
  17    1.783648e-08   3.825903e-06   1.689966e-03   18        18        1         0         39504     89                23358             18                0                 
  18    1.420982e-08   2.633742e-06   2.858113e-03   19        19        1         0         41821     94                24768             19                0                 
  19    1.069525e-08   3.803198e-06   3.654561e-03   20        20        1         0         44123     99                26163             20                0                 
  20    8.070656e-09   6.833847e-06   5.759937e-03   21        21        1         0         46359     104               27492             21                0                 
  21    5.457209e-09   2.946012e-06   2.029958e-03   22        22        1         0         48622     109               28848             22                0                 
  22    4.789901e-09   1.316809e-06   7.369839e-04   23        23        1         0         51026     114               30345             23                0                 
  23    4.546472e-09   8.772346e-07   3.987797e-04   24        24        1         0         53433     119               31845             24                0                 
  24    4.348344e-09   1.203928e-06   3.898659e-04   25        25        1         0         55858     124               33363             25                0                 
  25    3.795474e-09   2.017343e-06   1.307086e-03   26        26        1         0         58244     129               34842             26                0                 
  26    3.064022e-09   2.247718e-06   2.029428e-03   27        27        1         0         60609     134               36300             27                0                 
  27    1.821469e-09   2.133570e-06   3.978596e-03   28        28        1         0         62905     139               37689             28                0                 
  28    1.820136e-09   3.065674e-06   3.102756e-03   30        29        2         0         66815     148               39972             29                0                 
  29    9.373017e-10   7.222367e-07   8.695602e-04   31        30        1         0         69135     153               41385             30                0                 
  30    8.186694e-10   4.217192e-07   3.583320e-04   32        31        1         0         71554     158               42897             31                0                 
  31    7.160955e-10   6.076114e-07   5.204583e-04   33        32        1         0         73985     163               44421             32                0                 
  32    6.262565e-10   6.686510e-07   6.923439e-04   34        33        1         0         76347     168               45876             33                0                 
  33    5.703133e-10   5.104654e-07   7.195354e-04   35        34        1         0         78673     173               47295             34                0                 
  34    5.400621e-10   2.074605e-07   1.831238e-04   36        35        1         0         81077     178               48792             35                0                 
  35    5.246947e-10   2.446927e-07   1.439711e-04   37        36        1         0         83526     183               50334             36                0                 
  36    5.067089e-10   3.787989e-07   1.916950e-04   38        37        1         0         85990     188               51891             37                0                 
  37    4.663695e-10   5.501624e-07   5.010995e-04   39        38        1         0         88412     193               53406             38                0                 
  38    4.113337e-10   5.537802e-07   7.471918e-04   40        39        1         0         90762     198               54849             39                0                 
  39    3.122552e-10   8.591168e-07   1.869179e-03   41        40        1         0         93082     203               56262             40                0                 
  40    1.903839e-10   3.819670e-07   2.354392e-03   42        41        1         0         95372     208               57645             41                0                 
  41    1.235953e-10   1.812196e-07   5.165457e-04   43        42        1         0         97809     213               59175             42                0                 
