run.
Starting optimization with 80...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult   dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     1.441763e-03   6.345661e-03   
  1     1.401807e-03   6.247501e-03   6.345661e-03   2         2         1         0         2296      7                 1722              2                 0                 
  2     6.351551e-05   2.314320e-03   4.146954e-01   3         3         1         0         4357      14                3216              3                 0                 
  3     2.552563e-05   5.347056e-04   4.342866e-02   6         4         3         0         9818      32                7230              4                 0                 
  4     1.893991e-05   3.551742e-04   2.481892e-02   7         5         1         0         11598     38                8523              5                 0                 
  5     1.202855e-05   2.521010e-04   2.671628e-02   8         6         1         0         13474     44                9912              6                 0                 
  6     3.681938e-06   1.577327e-04   6.211007e-02   9         7         1         0         15266     50                11217             7                 0                 
  7     3.076938e-06   2.625919e-04   1.491520e-02   11        8         2         0         18544     61                13608             8                 0                 
  8     2.094742e-06   1.288075e-04   1.204724e-02   12        9         1         0         20483     67                15060             9                 0                 
  9     1.371847e-06   7.755148e-05   1.391587e-02   13        10        1         0         22422     73                16512             10                0                 
  10    8.529249e-07   7.294993e-05   1.562480e-02   14        11        1         0         24340     79                17943             11                0                 
  11    4.824770e-07   4.379673e-05   1.386934e-02   15        12        1         0         26300     85                19416             12                0                 
  12    2.531206e-07   2.848327e-05   1.393809e-02   16        13        1         0         28230     91                20859             13                0                 
  13    1.515773e-07   2.219219e-05   9.556738e-03   17        14        1         0         29564     96                21786             14                0                 
  14    9.086277e-08   1.775057e-05   6.600801e-03   18        15        1         0         30919     101               22734             15                0                 
  15    5.191045e-08   8.929851e-06   5.680486e-03   19        16        1         0         32307     106               23715             16                0                 
  16    3.520452e-08   6.501149e-06   3.980537e-03   20        17        1         0         33770     111               24771             17                0                 
  17    2.309886e-08   7.736221e-06   4.270764e-03   21        18        1         0         35224     116               25818             18                0                 
  18    1.179396e-08   7.601891e-06   5.236463e-03   22        19        1         0         36681     121               26868             19                0                 
  19    4.920305e-09   5.509671e-06   4.128057e-03   23        20        1         0         38111     126               27891             20                0                 
  20    2.217379e-09   1.422319e-06   1.221359e-03   24        21        1         0         39634     131               29007             21                0                 
  21    1.999501e-09   5.408698e-07   3.561520e-04   25        22        1         0         41154     136               30120             22                0                 
  22    1.940520e-09   4.244241e-07   1.568272e-04   26        23        1         0         42722     141               31281             23                0                 
  23    1.861824e-09   4.877121e-07   3.065390e-04   27        24        1         0         44239     146               32391             24                0                 
  24    1.740177e-09   6.569956e-07   5.554173e-04   28        25        1         0         45780     151               33525             25                0                 
  25    1.503068e-09   1.257033e-06   1.755373e-03   29        26        1         0         47312     156               34650             26                0                 
  26    1.184296e-09   1.058921e-06   1.902295e-03   30        27        1         0         48826     161               35757             27                0                 
  27    8.538355e-10   8.302654e-07   1.680578e-03   31        28        1         0         50376     166               36900             28                0                 
  28    4.898445e-10   5.118057e-07   2.616293e-03   32        29        1         0         51896     171               38013             29                0                 
  29    4.372949e-10   5.845780e-07   5.740761e-04   34        30        2         0         54432     180               39822             30                0                 
  30    3.840656e-10   3.765514e-07   3.660279e-04   35        31        1         0         55952     185               40935             31                0                 
  31    3.227753e-10   3.003244e-07   4.883764e-04   36        32        1         0         57487     190               42063             32                0                 
  32    2.694141e-10   3.291416e-07   5.836377e-04   37        33        1         0         58995     195               43164             33                0                 
  33    2.509244e-10   6.391637e-07   8.127882e-04   38        34        1         0         60521     200               44283             34                0                 
  34    2.098486e-10   2.271505e-07   1.191935e-04   39        35        1         0         62035     205               45390             35                0                 
  35    1.917876e-10   2.049316e-07   1.308593e-04   40        36        1         0         63588     210               46536             36                0                 
  36    1.660008e-10   2.399479e-07   3.454026e-04   41        37        1         0         65135     215               47676             37                0                 
  37    1.438805e-10   1.498127e-07   4.765784e-04   42        38        1         0         66679     220               48813             38                0                 
  38    1.353614e-10   1.303283e-07   2.638622e-04   43        39        1         0         68247     225               49974             39                0                 
  39    1.293791e-10   1.288932e-07   1.913237e-04   44        40        1         0         69815     230               51135             40                0                 
  40    1.212803e-10   1.674109e-07   2.613483e-04   45        41        1         0         71380     235               52293             41                0                 
  41    1.127598e-10   1.499437e-07   3.327213e-04   46        42        1         0         72942     240               53448             42                0                 
  42    1.090222e-10   1.774896e-07   3.112553e-04   47        43        1         0         74489     245               54588             43                0                 
  43    1.053081e-10   7.507072e-08   5.021965e-05   48        44        1         0         76015     250               55707             44                0                 
  44    1.029164e-10   8.944548e-08   5.939171e-05   49        45        1         0         77580     255               56865             45                0                 
  45    9.890042e-11   1.569472e-07   1.263784e-04   50        46        1         0         79151     260               58029             46                0                 
  46    8.909718e-11   2.645112e-07   3.848635e-04   51        47        1         0         80737     265               59208             47                0                 
  47    7.088671e-11   3.522209e-07   8.690321e-04   52        48        1         0         82320     270               60384             48                0                 
  48    4.744947e-11   3.134167e-07   1.344101e-03   53        49        1         0         83879     275               61536             49                0                 
  49    3.106723e-11   2.648985e-07   1.298995e-03   54        50        1         0         85405     280               62655             50                0                 
  50    1.952385e-11   7.606082e-08   5.682376e-04   55        51        1         0         86934     285               63777             51                0                 
  51    1.576299e-11   9.836141e-08   1.389108e-04   56        52        1         0         88502     290               64938             52                0                 
  52    1.267033e-11   1.294652e-07   1.704271e-04   57        53        1         0         90103     295               66132             53                0                 
  53    8.912751e-12   1.232481e-07   3.081361e-04   58        54        1         0         91728     300               67350             54                0                 
  54    8.014589e-12   1.010393e-07   1.693666e-04   60        55        2         0         94477     309               69372             55                0                 
  55    7.102217e-12   3.336743e-08   1.177294e-04   61        56        1         0         96072     314               70560             56                0                 
  56    6.950301e-12   1.089278e-08   5.431154e-05   62        57        1         0         97661     319               71742             57                0                 
  57    6.936367e-12   5.861702e-09   6.355069e-06   63        58        1         0         99337     324               73011             58                0                 
  58    6.921539e-12   1.426363e-08   6.793026e-06   64        59        1         0         101022    329               74289             59                0                 
  59    6.898644e-12   2.600529e-08   8.304706e-06   65        60        1         0         102692    334               75552             60                0                 
  60    6.831445e-12   4.885527e-08   2.307339e-05   66        61        1         0         104347    339               76800             61                0                 
  61    6.676841e-12   8.091873e-08   5.398882e-05   67        62        1         0         106008    344               78054             62                0                 
  62    6.310822e-12   1.238487e-07   1.328508e-04   68        63        1         0         107648    349               79287             63                0                 
  63    5.601349e-12   1.599710e-07   2.723370e-04   69        64        1         0         109270    354               80502             64                0                 
  64    4.625906e-12   1.498683e-07   4.061538e-04   70        65        1         0         110934    359               81759             65                0                 
  65    3.844893e-12   9.904607e-08   3.312812e-04   71        66        1         0         112571    364               82989             66                0                 
  66    3.520768e-12   1.900219e-08   1.044732e-04   72        67        1         0         114175    369               84186             67                0                 
  67    3.450406e-12   2.298025e-08   3.193360e-05   73        68        1         0         115779    374               85383             68                0                 
  68    3.411940e-12   3.471981e-08   2.555831e-05   74        69        1         0         117410    379               86607             69                0                 
  69    3.297750e-12   5.681077e-08   4.519152e-05   75        70        1         0         119017    384               87807             70                0                 
  70    3.054459e-12   8.467464e-08   7.361644e-05   76        71        1         0         120624    389               89007             71                0                 
  71    2.510721e-12   1.171635e-07   2.055385e-04   77        72        1         0         122261    394               90237             72                0                 
  72    1.623205e-12   1.289108e-07   4.459821e-04   78        73        1         0         123940    399               91509             73                0                 
  73    7.610087e-13   8.835675e-08   5.845395e-04   79        74        1         0         125622    404               92784             74                0                 
  74    3.957946e-13   3.074150e-08   3.501218e-04   80        75        1         0         127220    409               93975             75                0                 
  75    3.410602e-13   5.374943e-09   5.600310e-05   81        76        1         0         128863    414               95211             76                0                 
  76    3.376872e-13   9.450903e-10   2.560565e-05   82        77        1         0         130626    419               96567             77                0                 
Optimization Terminated with Status: Converged
The process took 53.8437 seconds to run.
Total n_vmult for algorithm 130626
