run.
Starting optimization with 160...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult   
  0     1.445141e-03   5.502738e-03   
  1     1.415033e-03   5.440062e-03   5.502738e-03   2         2         1         0         2329      
  2     1.012882e-03   3.136360e-02   2.796697e-01   4         3         2         0         7199      
  3     4.677552e-05   9.454439e-04   3.529993e-01   5         4         1         0         9257      
  4     1.461752e-05   4.942283e-04   7.566861e-02   6         5         1         0         10962     
  5     6.982149e-06   3.370805e-04   3.094509e-02   7         6         1         0         12787     
  6     2.885899e-06   4.838112e-04   5.801582e-02   8         7         1         0         14594     
  7     1.570086e-06   1.525707e-04   1.332873e-02   10        8         2         0         17366     
  8     1.225082e-06   8.349965e-05   1.033517e-02   11        9         1         0         19317     
  9     1.093867e-06   5.573656e-05   2.879898e-03   12        10        1         0         20753     
  10    9.378020e-07   5.699265e-05   4.833082e-03   13        11        1         0         22201     
  11    7.089168e-07   7.629294e-05   1.034055e-02   14        12        1         0         23625     
  12    5.787491e-07   7.557837e-05   7.805785e-03   15        13        1         0         25037     
  13    4.743768e-07   6.717542e-05   7.239706e-03   16        14        1         0         26449     
  14    3.663092e-07   5.606627e-05   8.891072e-03   17        15        1         0         27834     
  15    2.666826e-07   4.354874e-05   9.537673e-03   18        16        1         0         29282     
  16    1.999249e-07   3.803372e-05   7.526251e-03   19        17        1         0         30739     
  17    1.687515e-07   3.874915e-05   3.680443e-03   20        18        1         0         32184     
  18    1.459769e-07   3.655221e-05   2.819180e-03   21        19        1         0         33584     
  19    1.200027e-07   2.810767e-05   3.786177e-03   22        20        1         0         34984     
  20    9.621981e-08   1.703242e-05   4.455338e-03   23        21        1         0         36417     
  21    8.153902e-08   1.804218e-05   3.537747e-03   24        22        1         0         37904     
  22    7.225628e-08   2.283275e-05   2.414770e-03   25        23        1         0         39364     
  23    6.161092e-08   2.393251e-05   2.745617e-03   26        24        1         0         40815     
  24    4.565661e-08   1.802339e-05   4.393662e-03   27        25        1         0         42290     
  25    3.268485e-08   7.312590e-06   4.600142e-03   28        26        1         0         43759     
  26    2.774920e-08   6.182969e-06   2.258889e-03   29        27        1         0         45222     
  27    2.510607e-08   8.478090e-06   1.272351e-03   30        28        1         0         46691     
  28    2.147435e-08   9.301573e-06   1.844969e-03   31        29        1         0         48157     
  29    1.657529e-08   1.187395e-05   4.005063e-03   32        30        1         0         49650     
  30    1.199838e-08   4.824423e-06   3.149156e-03   33        31        1         0         51134     
  31    1.014024e-08   2.937003e-06   8.520983e-04   34        32        1         0         52624     
  32    8.770254e-09   3.459745e-06   1.026835e-03   35        33        1         0         54120     
  33    7.533117e-09   3.488451e-06   1.160798e-03   36        34        1         0         55655     
  34    5.260826e-09   2.321264e-06   2.711400e-03   37        35        1         0         57181     
  35    3.965014e-09   2.981330e-06   2.415010e-03   38        36        1         0         58689     
  36    3.061604e-09   2.016981e-06   1.699338e-03   39        37        1         0         60224     
  37    2.512622e-09   1.826588e-06   8.132727e-04   40        38        1         0         61843     
  38    2.124414e-09   1.121778e-06   9.855371e-04   41        39        1         0         63444     
  39    1.995529e-09   8.813070e-07   3.979976e-04   42        40        1         0         64940     
  40    1.902081e-09   8.906424e-07   2.392784e-04   43        41        1         0         66502     
  41    1.470245e-09   1.582490e-06   1.468321e-03   44        42        1         0         68037     
  42    1.101251e-09   1.730748e-06   1.491549e-03   45        43        1         0         69575     
  43    8.978897e-10   2.815835e-06   1.935349e-03   47        44        2         0         72084     
  44    5.394350e-10   8.883673e-07   9.740527e-04   48        45        1         0         73592     
  45    4.574312e-10   4.776497e-07   2.459596e-04   49        46        1         0         75127     
  46    4.104445e-10   5.569137e-07   1.824507e-04   50        47        1         0         76689     
  47    3.353557e-10   6.446841e-07   3.602028e-04   51        48        1         0         78263     
  48    2.169497e-10   4.990382e-07   7.778197e-04   52        49        1         0         79861     
  49    1.616808e-10   4.526862e-07   7.084106e-04   53        50        1         0         81450     
  50    1.575752e-10   5.836509e-07   1.802953e-04   54        51        1         0         82964     
  51    1.486392e-10   1.821716e-07   1.210873e-04   55        52        1         0         84511     
  52    1.470004e-10   1.159667e-07   2.254658e-05   56        53        1         0         86127     
  53    1.422816e-10   2.172546e-07   7.337585e-05   57        54        1         0         87698     
  54    1.377197e-10   3.444931e-07   9.610424e-05   58        55        1         0         89239     
  55    1.272695e-10   4.808918e-07   2.491545e-04   59        56        1         0         90798     
  56    1.079668e-10   5.470557e-07   4.755091e-04   60        57        1         0         92357     
  57    7.305324e-11   6.806360e-07   9.596407e-04   61        58        1         0         93913     
  58    6.124256e-11   5.752094e-07   1.189158e-03   62        59        1         0         95451     
  59    3.612807e-11   1.724936e-07   1.411629e-04   63        60        1         0         96974     
  60    3.175412e-11   8.448239e-08   8.842369e-05   64        61        1         0         98560     
  61    2.964755e-11   1.107408e-07   5.043144e-05   65        62        1         0         100182    
  62    2.697325e-11   1.514963e-07   8.953555e-05   66        63        1         0         101789    
  63    2.172508e-11   1.706195e-07   2.018988e-04   67        64        1         0         103405    
  64    1.323123e-11   1.382785e-07   3.391568e-04   68        65        1         0         105006    
  65    1.097046e-11   2.333691e-07   2.598648e-04   70        66        2         0         107665    
  66    8.288149e-12   6.569860e-08   8.025952e-05   71        67        1         0         109248    
  67    7.755736e-12   3.737165e-08   2.689173e-05   72        68        1         0         110885    
  68    7.407732e-12   4.389885e-08   1.940965e-05   73        69        1         0         112570    
  69    6.282584e-12   5.646185e-08   6.867109e-05   74        70        1         0         114255    
  70    4.824519e-12   5.545823e-08   1.259120e-04   75        71        1         0         115907    
  71    4.536661e-12   5.097489e-08   4.429467e-05   78        72        3         0         119624    
  72    4.118543e-12   1.722479e-08   4.933867e-05   79        73        1         0         121222    
  73    4.033072e-12   1.007615e-08   1.378020e-05   80        74        1         0         122886    
  74    3.967452e-12   1.315124e-08   1.087882e-05   81        75        1         0         124571    
  75    3.775669e-12   2.510535e-08   3.389201e-05   82        76        1         0         126256    
  76    3.383009e-12   4.020265e-08   8.064961e-05   83        77        1         0         127947    
  77    2.837235e-12   6.806374e-08   1.801470e-04   84        78        1         0         129590    
  78    2.180104e-12   4.345751e-08   1.297502e-04   85        79        1         0         131239    
  79    1.753649e-12   1.630042e-08   9.009829e-05   86        80        1         0         132906    
  80    1.679610e-12   7.176162e-09   1.839410e-05   87        81        1         0         134579    
  81    1.651201e-12   8.390305e-09   6.378718e-06   88        82        1         0         136306    
  82    1.539138e-12   1.815575e-08   2.951435e-05   89        83        1         0         138015    
  83    1.327851e-12   3.073102e-08   6.639965e-05   90        84        1         0         139694    
  84    9.001119e-13   4.242873e-08   1.575245e-04   91        85        1         0         141421    
  85    4.031470e-13   3.733620e-08   2.193255e-04   92        86        1         0         142507    
  86    3.919448e-13   4.161033e-08   3.659944e-05   96        87        4         0         147267    
  87    1.308634e-13   1.521003e-08   1.047638e-04   97        88        1         0         148937    
  88    9.019375e-14   3.170372e-09   1.021494e-05   98        89        1         0         150631    
  89    8.725439e-14   8.793232e-10   1.174139e-05   99        90        1         0         152355    
Optimization Terminated with Status: Converged
The process took 64.6709 seconds to run.
Total n_vmult for algorithm 152355
