run.
Starting optimization with 80...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult   dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     1.456334e-03   6.438229e-03   
  1     1.415212e-03   6.336411e-03   6.438229e-03   2         2         1         0         3782      6                 1848              2                 0                 
  2     4.124736e-05   7.302250e-04   4.050310e-01   3         3         1         0         7829      13                3648              3                 0                 
  3     1.488567e-05   2.740403e-04   5.808935e-02   4         4         1         0         11586     19                5478              4                 0                 
  4     8.045355e-06   2.072945e-04   3.669901e-02   5         5         1         0         14483     24                6768              5                 0                 
  5     4.832875e-06   3.100761e-04   5.217525e-02   6         6         1         0         17386     29                8064              6                 0                 
  6     2.299228e-06   1.065565e-04   2.157179e-02   7         7         1         0         20304     34                9375              7                 0                 
  7     1.753281e-06   7.618450e-05   7.078447e-03   8         8         1         0         23297     39                10761             8                 0                 
  8     9.303995e-07   5.672334e-05   1.844227e-02   9         9         1         0         26293     44                12150             9                 0                 
  9     4.527260e-07   3.913616e-05   1.879624e-02   10        10        1         0         29295     49                13545             10                0                 
  10    3.619733e-07   6.843531e-05   1.042828e-02   12        11        2         0         34399     58                15762             11                0                 
  11    2.152738e-07   2.556424e-05   7.411684e-03   13        12        1         0         37446     63                17202             12                0                 
  12    1.593372e-07   1.917828e-05   4.270768e-03   14        13        1         0         40514     68                18663             13                0                 
  13    9.845611e-08   1.631602e-05   6.955524e-03   15        14        1         0         43609     73                20151             14                0                 
  14    4.799179e-08   1.120520e-05   7.199005e-03   16        15        1         0         46704     78                21639             15                0                 
  15    2.163512e-08   6.476227e-06   7.782803e-03   17        16        1         0         49820     83                23148             16                0                 
  16    1.541814e-08   6.427516e-06   3.060695e-03   18        17        1         0         52939     88                24660             17                0                 
  17    1.159187e-08   4.710952e-06   1.252006e-03   19        18        1         0         56115     93                26229             18                0                 
  18    7.538535e-09   4.475720e-06   1.789891e-03   20        19        1         0         59276     98                27783             19                0                 
  19    2.342049e-09   2.765245e-06   4.725367e-03   21        20        1         0         62479     103               29379             20                0                 
  20    2.123023e-09   2.366138e-06   5.932048e-04   24        21        3         0         70216     116               32949             21                0                 
  21    1.825892e-09   5.363524e-07   4.774987e-04   25        22        1         0         73446     121               34572             22                0                 
  22    1.796712e-09   3.264160e-07   1.368841e-04   26        23        1         0         76748     126               36267             23                0                 
  23    1.774356e-09   3.843445e-07   1.013127e-04   27        24        1         0         79133     130               37365             24                0                 
  24    1.678334e-09   7.418652e-07   4.761798e-04   28        25        1         0         82462     135               39087             25                0                 
  25    1.501196e-09   1.163997e-06   1.003311e-03   29        26        1         0         85767     140               40785             26                0                 
