run.
Starting optimization with 20...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult   dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     1.433091e-03   8.747121e-03   
  1     1.358011e-03   8.420204e-03   8.747121e-03   2         2         1         0         2681      6                 1587              2                 0                 
  2     3.058868e-04   1.298028e-03   2.336744e-01   3         3         1         0         5145      12                2964              3                 0                 
  3     2.562921e-04   9.344499e-04   5.041936e-02   4         4         1         0         7912      18                4644              4                 0                 
  4     2.002331e-04   7.917231e-04   9.452273e-02   5         5         1         0         10511     24                6156              5                 0                 
  5     1.598410e-04   5.902091e-04   1.050327e-01   6         6         1         0         13257     30                7815              6                 0                 
  6     1.322111e-04   6.065655e-04   1.488668e-01   7         7         1         0         15991     36                9462              7                 0                 
  7     1.160524e-04   3.330248e-04   8.265317e-02   8         8         1         0         18746     42                11130             8                 0                 
  8     1.070306e-04   3.044181e-04   4.429199e-02   9         9         1         0         21591     48                12888             9                 0                 
  9     8.704118e-05   3.191201e-04   1.617221e-01   10        10        1         0         24340     54                14550             10                0                 
  10    8.213312e-05   3.303478e-04   7.930171e-02   12        11        2         0         29186     65                17409             11                0                 
  11    7.749998e-05   1.490230e-04   5.093227e-02   13        12        1         0         32064     71                19200             12                0                 
  12    7.511022e-05   1.217384e-04   3.393249e-02   14        13        1         0         34144     76                20373             13                0                 
  13    7.190782e-05   2.014749e-04   5.362109e-02   15        14        1         0         36233     81                21555             14                0                 
  14    6.440034e-05   3.476985e-04   1.418134e-01   16        15        1         0         38301     86                22716             15                0                 
  15    5.142361e-05   4.495847e-04   2.793037e-01   17        16        1         0         41173     92                24501             16                0                 
  16    3.747278e-05   3.241430e-04   3.446765e-01   18        17        1         0         43982     98                26223             17                0                 
