run.
Starting optimization with 20...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult   dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     1.416969e-03   8.616656e-03   
  1     1.344087e-03   8.300250e-03   8.616656e-03   2         2         1         0         2206      7                 1632              2                 0                 
  2     3.042472e-04   1.277076e-03   2.346874e-01   3         3         1         0         4372      14                3231              3                 0                 
  3     2.552405e-04   9.332295e-04   5.035484e-02   4         4         1         0         6062      20                4434              4                 0                 
  4     1.979017e-04   7.850304e-04   9.763582e-02   5         5         1         0         7761      26                5646              5                 0                 
  5     1.576918e-04   5.752753e-04   1.049009e-01   6         6         1         0         9481      32                6879              6                 0                 
  6     1.301508e-04   5.976933e-04   1.498226e-01   7         7         1         0         11204     38                8115              7                 0                 
  7     1.142744e-04   3.767276e-04   9.064177e-02   8         8         1         0         12957     44                9381              8                 0                 
  8     1.048105e-04   3.128347e-04   4.165329e-02   9         9         1         0         14812     50                10749             9                 0                 
  9     8.603052e-05   2.872517e-04   1.576970e-01   10        10        1         0         16550     56                12000             10                0                 
  10    8.531908e-05   5.203860e-04   1.265353e-01   11        11        1         0         18249     62                13212             11                0                 
  11    7.819327e-05   1.557703e-04   3.066526e-02   12        12        1         0         19969     68                14445             12                0                 
  12    7.639207e-05   1.184361e-04   1.621046e-02   13        13        1         0         21869     74                15858             13                0                 
  13    7.178241e-05   2.329935e-04   6.561807e-02   14        14        1         0         23736     80                17238             14                0                 
  14    6.431284e-05   3.835424e-04   1.297171e-01   15        15        1         0         25561     86                18576             15                0                 
  15    5.009900e-05   4.864824e-04   2.884292e-01   16        16        1         0         27392     92                19920             16                0                 
  16    3.705299e-05   3.246515e-04   3.079544e-01   17        17        1         0         29199     98                21240             17                0                 
  17    3.454904e-05   1.816545e-04   1.319168e-01   18        18        1         0         30985     104               22539             18                0                 
  18    3.298228e-05   3.582470e-05   2.779520e-02   19        19        1         0         32840     110               23907             19                0                 
  19    3.284886e-05   2.787101e-05   1.577947e-02   20        20        1         0         34153     115               24813             20                0                 
  20    3.270949e-05   4.237263e-05   1.376318e-02   21        21        1         0         35472     120               25725             21                0                 
  21    3.233010e-05   7.817751e-05   2.884057e-02   22        22        1         0         37390     126               27156             22                0                 
  22    3.141205e-05   1.351506e-04   6.592966e-02   23        23        1         0         39305     132               28584             23                0                 
  23    2.920753e-05   2.160294e-04   1.658702e-01   24        24        1         0         41217     138               30009             24                0                 
  24    2.463179e-05   2.997075e-04   3.716085e-01   25        25        1         0         43168     144               31473             25                0                 
