run.
Starting optimization with 60...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult   dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     1.462804e-03   6.832808e-03   
  1     1.416549e-03   6.706528e-03   6.832808e-03   2         2         1         0         2681      6                 1587              2                 0                 
  2     8.527843e-05   8.714998e-04   3.697793e-01   3         3         1         0         5820      13                3459              3                 0                 
  3     4.781043e-05   4.431407e-04   6.381143e-02   4         4         1         0         8509      19                5061              4                 0                 
  4     2.892331e-05   3.488353e-04   6.315459e-02   5         5         1         0         11255     25                6720              5                 0                 
  5     1.603562e-05   3.298492e-04   7.845492e-02   6         6         1         0         14070     31                8448              6                 0                 
  6     1.155281e-05   2.301198e-04   4.366711e-02   8         7         2         0         19000     42                11391             7                 0                 
  7     8.820173e-06   1.437099e-04   2.342921e-02   9         8         1         0         21071     47                12555             8                 0                 
  8     6.263704e-06   1.252472e-04   3.465924e-02   10        9         1         0         23067     52                13644             9                 0                 
  9     4.315163e-06   9.914031e-05   3.580319e-02   11        10        1         0         25138     57                14808             10                0                 
  10    2.464180e-06   1.028237e-04   5.312147e-02   12        11        1         0         27233     62                15996             11                0                 
  11    2.357175e-06   1.642996e-04   3.176964e-02   14        12        2         0         31401     72                18357             12                0                 
  12    1.721005e-06   4.441073e-05   8.912181e-03   15        13        1         0         33460     77                19509             13                0                 
  13    1.579361e-06   4.085600e-05   5.185744e-03   16        14        1         0         35651     82                20793             14                0                 
  14    1.211801e-06   4.923983e-05   1.707349e-02   17        15        1         0         37863     87                22098             15                0                 
  15    7.380512e-07   4.510546e-05   2.903436e-02   18        16        1         0         40036     92                23364             16                0                 
  16    5.098894e-07   4.847260e-05   3.145694e-02   19        17        1         0         42164     97                24585             17                0                 
  17    3.903671e-07   2.816568e-05   1.443079e-02   20        18        1         0         44274     102               25788             18                0                 
  18    3.291763e-07   1.683185e-05   5.345138e-03   21        19        1         0         46549     107               27156             19                0                 
  19    2.415119e-07   1.795193e-05   9.112242e-03   22        20        1         0         48752     112               28452             20                0                 
  20    1.268410e-07   2.437280e-05   1.998722e-02   23        21        1         0         50982     117               29775             21                0                 
  21    4.305512e-08   1.650999e-05   2.472148e-02   24        22        1         0         53194     122               31080             22                0                 
  22    3.828509e-08   1.775905e-05   9.736063e-03   26        23        2         0         56837     131               33096             23                0                 
  23    2.237864e-08   2.831299e-06   1.935298e-03   27        24        1         0         59049     136               34401             24                0                 
  24    2.166854e-08   1.350489e-06   7.949317e-04   28        25        1         0         61408     141               35853             25                0                 
  25    2.131222e-08   1.534680e-06   4.476719e-04   29        26        1         0         63800     146               37338             26                0                 
  26    2.018670e-08   2.870896e-06   1.376250e-03   30        27        1         0         66159     151               38790             27                0                 
  27    1.779750e-08   4.880108e-06   3.194685e-03   31        28        1         0         68491     156               40215             28                0                 
  28    1.312597e-08   6.696530e-06   7.019601e-03   32        29        1         0         70808     161               41625             29                0                 
  29    6.561801e-09   6.465130e-06   1.102729e-02   33        30        1         0         73119     166               43029             30                0                 
  30    5.402064e-09   7.058747e-06   4.814005e-03   36        31        3         0         78595     179               46158             31                0                 
  31    1.366813e-09   3.601589e-06   7.874545e-03   37        32        1         0         80897     184               47553             32                0                 
  32    3.230998e-10   1.262477e-06   9.650766e-04   38        33        1         0         83223     189               48972             33                0                 
  33    1.747729e-10   2.452176e-07   7.500584e-04   39        34        1         0         85576     194               50418             34                0                 
  34    1.661591e-10   1.339765e-07   1.547131e-04   40        35        1         0         87971     199               51906             35                0                 
  35    1.599058e-10   1.299763e-07   7.468830e-05   41        36        1         0         90375     204               53403             36                0                 
  36    1.498608e-10   1.764699e-07   1.411056e-04   42        37        1         0         92731     209               54852             37                0                 
  37    1.381999e-10   1.670379e-07   2.220159e-04   43        38        1         0         95156     214               56370             38                0                 
  38    1.363872e-10   1.966174e-07   9.341000e-05   46        39        3         0         101070    227               59937             39                0                 
  39    1.314199e-10   6.794315e-08   1.279981e-04   47        40        1         0         103528    232               61488             40                0                 
  40    1.301633e-10   4.602088e-08   4.153711e-05   48        41        1         0         106040    237               63093             41                0                 
  41    1.287774e-10   7.331690e-08   5.633069e-05   49        42        1         0         107715    241               64041             42                0                 
  42    1.263135e-10   1.167078e-07   1.124693e-04   50        43        1         0         109423    245               65022             43                0                 
  43    1.212208e-10   1.684485e-07   2.860893e-04   51        44        1         0         111101    249               65973             44                0                 
  44    1.157698e-10   1.874580e-07   4.380428e-04   52        45        1         0         113553    254               67518             45                0                 
  45    1.114139e-10   8.753837e-08   1.805154e-04   53        46        1         0         116008    259               69066             46                0                 
  46    1.096808e-10   4.071097e-08   6.741623e-05   54        47        1         0         118439    264               70590             47                0                 
  47    1.091190e-10   4.719341e-08   2.265283e-05   55        48        1         0         120105    268               71529             48                0                 
  48    1.068423e-10   9.148784e-08   1.135626e-04   56        49        1         0         122503    273               73020             49                0                 
  49    1.018438e-10   1.600854e-07   3.065507e-04   57        50        1         0         124970    278               74580             50                0                 
  50    9.077439e-11   2.414441e-07   8.016256e-04   58        51        1         0         127383    283               76086             51                0                 
  51    7.496593e-11   2.703068e-07   1.393810e-03   59        52        1         0         129811    288               77607             52                0                 
  52    7.211810e-11   3.653585e-07   1.130767e-03   61        53        2         0         133982    297               80151             53                0                 
  53    5.989773e-11   1.296246e-07   3.854116e-04   62        54        1         0         136446    302               81708             54                0                 
  54    5.732816e-11   4.415007e-08   8.368878e-05   63        55        1         0         138922    307               83277             55                0                 
  55    5.688103e-11   2.591196e-08   2.941784e-05   64        56        1         0         140639    311               84267             56                0                 
  56    5.658742e-11   3.334630e-08   1.915600e-05   65        57        1         0         142374    315               85275             57                0                 
  57    5.557058e-11   7.110141e-08   7.147663e-05   66        58        1         0         144886    320               86880             58                0                 
  58    5.341409e-11   1.264889e-07   1.839472e-04   67        59        1         0         147341    325               88428             59                0                 
  59    4.821822e-11   2.037052e-07   5.199423e-04   68        60        1         0         149769    330               89949             60                0                 
