run.
Starting optimization with 20...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult   dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     1.433668e-03   8.752549e-03   
  1     1.358495e-03   8.425279e-03   8.752549e-03   2         2         1         0         3773      6                 1839              2                 0                 
  2     3.057822e-04   1.297450e-03   2.336584e-01   3         3         1         0         7293      12                3432              3                 0                 
  3     2.562881e-04   9.330236e-04   5.035262e-02   4         4         1         0         11038     18                5250              4                 0                 
  4     2.005061e-04   7.900535e-04   9.418760e-02   5         5         1         0         14750     24                7035              5                 0                 
  5     1.602333e-04   5.893639e-04   1.048246e-01   6         6         1         0         18507     30                8865              6                 0                 
  6     1.321246e-04   5.886041e-04   1.482105e-01   7         7         1         0         22273     36                10704             7                 0                 
  7     1.161819e-04   3.342590e-04   8.624225e-02   8         8         1         0         26078     42                12582             8                 0                 
  8     1.071818e-04   3.015735e-04   4.396681e-02   9         9         1         0         30006     48                14583             9                 0                 
  9     8.655857e-05   3.091519e-04   1.661222e-01   10        10        1         0         33775     54                16425             10                0                 
  10    8.136827e-05   2.981420e-04   7.674929e-02   12        11        2         0         39559     64                19002             11                0                 
  11    7.678175e-05   1.444279e-04   5.982061e-02   13        12        1         0         42477     69                20313             12                0                 
  12    7.408210e-05   1.238654e-04   3.982468e-02   14        13        1         0         45422     74                21651             13                0                 
  13    6.987315e-05   2.201213e-04   7.330778e-02   15        14        1         0         48355     79                22977             14                0                 
  14    6.149550e-05   3.613847e-04   1.645324e-01   16        15        1         0         51267     84                24282             15                0                 
  15    4.754475e-05   4.344562e-04   3.138345e-01   17        16        1         0         54146     89                25554             16                0                 
  16    3.471576e-05   2.353538e-04   3.290751e-01   18        17        1         0         57945     95                27426             17                0                 
  17    3.182321e-05   7.535577e-05   8.235254e-02   19        18        1         0         61789     101               29343             18                0                 
  18    3.147803e-05   2.639003e-05   2.278668e-02   20        19        1         0         64767     106               30714             19                0                 
  19    3.139853e-05   3.505100e-05   1.346309e-02   21        20        1         0         67850     111               32190             20                0                 
  20    3.117171e-05   5.703397e-05   2.541599e-02   22        21        1         0         70903     116               33636             21                0                 
