run.
Starting optimization with 80...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult   dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  59    1.161574e-11   4.361730e-08   1.999564e-04   66        60        1         0         145467    317               87987             60                0                 
  60    1.130499e-11   1.184774e-08   9.195617e-05   67        61        1         0         147187    321               88980             61                0                 
  61    1.124430e-11   9.017560e-09   3.131872e-05   68        62        1         0         148937    325               90003             62                0                 
  62    1.120168e-11   1.270316e-08   1.426070e-05   69        63        1         0         150708    329               91047             63                0                 
  63    1.102491e-11   2.520142e-08   4.748256e-05   70        64        1         0         152449    333               92061             64                0                 
  64    1.063390e-11   4.297566e-08   1.004972e-04   71        65        1         0         154181    337               93066             65                0                 
  65    9.669487e-12   6.859486e-08   2.570719e-04   72        66        1         0         155877    341               94035             66                0                 
  66    7.822269e-12   9.287651e-08   5.383855e-04   73        67        1         0         157561    345               94992             67                0                 
  67    7.593391e-12   1.670833e-07   1.079741e-03   74        68        1         0         159920    350               96444             68                0                 
  68    4.242227e-12   7.409461e-08   1.287929e-04   75        69        1         0         162321    355               97938             69                0                 
  69    3.214936e-12   3.684863e-08   1.258754e-04   76        70        1         0         164806    360               99516             70                0                 
  70    2.867621e-12   1.117539e-08   1.529784e-04   77        71        1         0         166514    364               100497            71                0                 
  71    2.823273e-12   8.416550e-09   3.217260e-05   78        72        1         0         168267    368               101523            72                0                 
  72    2.740954e-12   1.511515e-08   5.215005e-05   79        73        1         0         170008    372               102537            73                0                 
  73    2.587656e-12   2.744376e-08   8.009401e-05   80        74        1         0         171713    376               103515            74                0                 
  74    2.213405e-12   4.540820e-08   1.737612e-04   81        75        1         0         173415    380               104490            75                0                 
  75    1.573546e-12   5.710467e-08   2.786795e-04   82        76        1         0         175153    384               105501            76                0                 
  76    8.471163e-13   4.747330e-08   3.116285e-04   83        77        1         0         176852    388               106473            77                0                 
  77    8.345752e-13   2.586361e-08   1.790845e-04   84        78        1         0         179325    393               108039            78                0                 
  78    4.948638e-13   1.086684e-08   8.796061e-05   85        79        1         0         181033    397               109020            79                0                 
  79    4.695077e-13   3.650207e-09   3.354800e-05   86        80        1         0         182795    401               110055            80                0                 
  80    4.670304e-13   1.225292e-09   1.658320e-05   87        81        1         0         184566    405               111099            81                0                 
  81    4.667150e-13   7.796665e-10   1.606416e-06   88        82        1         0         186352    409               112158            82                0                 
Optimization Terminated with Status: Converged
The process took 402.415 seconds to run.
Total n_vmult for algorithm 186352
