run.
Starting optimization with 40...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  n_vmult   dRdW_form         dRdW_mult         dRdX_mult         d2R_mult          
  0     1.455208e-03   7.428953e-03   
  1     1.400670e-03   7.253720e-03   7.428953e-03   2         2         1         0         2678      6                 1584              2                 0                 
  2     1.687026e-04   1.047904e-03   3.161002e-01   3         3         1         0         5787      13                3426              3                 0                 
  3     1.208764e-04   6.533820e-04   6.337307e-02   4         4         1         0         8548      19                5100              4                 0                 
  4     8.303310e-05   5.399201e-04   8.859586e-02   5         5         1         0         11231     25                6696              5                 0                 
  5     5.509182e-05   3.716104e-04   1.013823e-01   6         6         1         0         14013     31                8391              6                 0                 
  6     3.727755e-05   3.481973e-04   1.215671e-01   7         7         1         0         16741     37                10032             7                 0                 
  7     3.102833e-05   2.426378e-04   6.421025e-02   9         8         2         0         21596     48                12900             8                 0                 
  8     2.709351e-05   1.699918e-04   3.416307e-02   10        9         1         0         24480     54                14697             9                 0                 
  9     2.237897e-05   1.579194e-04   5.743430e-02   11        10        1         0         27316     60                16446             10                0                 
  10    1.849555e-05   2.584459e-04   8.478140e-02   12        11        1         0         30257     66                18300             11                0                 
  11    1.527092e-05   1.357937e-04   7.520822e-02   13        12        1         0         33057     72                20013             12                0                 
  12    1.393417e-05   7.997724e-05   1.543775e-02   14        13        1         0         35170     77                21219             13                0                 
  13    1.265771e-05   7.943342e-05   2.730804e-02   15        14        1         0         37310     82                22452             14                0                 
  14    1.104905e-05   1.031172e-04   4.303453e-02   16        15        1         0         39459     87                23694             15                0                 
  15    7.355688e-06   1.268315e-04   1.268305e-01   17        16        1         0         41566     92                24894             16                0                 
  16    6.495194e-06   1.596876e-04   6.718878e-02   19        17        2         0         45899     102               27420             17                0                 
  17    4.892817e-06   5.541497e-05   6.118742e-02   20        18        1         0         47991     107               28605             18                0                 
  18    4.576697e-06   2.226357e-05   1.293477e-02   21        19        1         0         50107     112               29814             19                0                 
  19    4.443337e-06   2.676742e-05   8.381894e-03   22        20        1         0         52340     117               31140             20                0                 
  20    4.182542e-06   4.412879e-05   1.943666e-02   23        21        1         0         54513     122               32406             21                0                 
  21    3.510987e-06   7.519554e-05   5.871217e-02   24        22        1         0         56662     127               33648             22                0                 
  22    2.313893e-06   9.914285e-05   1.221767e-01   25        23        1         0         58769     132               34848             23                0                 
  23    8.776524e-07   8.238442e-05   1.740786e-01   26        24        1         0         60912     137               36084             24                0                 
  24    7.915179e-07   8.117960e-05   1.983094e-02   30        25        4         0         68848     156               40593             25                0                 
  25    2.319841e-07   2.831935e-05   7.500862e-02   31        26        1         0         70955     161               41793             26                0                 
  26    1.557898e-07   4.675285e-06   7.950954e-03   32        27        1         0         73143     166               43074             27                0                 
  27    1.510565e-07   2.158372e-06   8.284429e-03   33        28        1         0         75403     171               44427             28                0                 
  28    1.494177e-07   2.050591e-06   2.183998e-03   34        29        1         0         77678     176               45795             29                0                 
  29    1.452258e-07   4.178007e-06   5.162347e-03   35        30        1         0         79983     181               47193             30                0                 
  30    1.420533e-07   3.683846e-06   4.237503e-03   36        31        1         0         82249     186               48552             31                0                 
  31    1.396183e-07   2.827200e-06   3.349665e-03   37        32        1         0         84602     191               49998             32                0                 
  32    1.338701e-07   3.611064e-06   9.763516e-03   38        33        1         0         86934     196               51423             33                0                 
  33    1.296560e-07   4.824496e-06   7.208483e-03   39        34        1         0         89152     201               52734             34                0                 
  34    1.237455e-07   5.036806e-06   7.159944e-03   40        35        1         0         91451     206               54126             35                0                 
  35    8.760830e-08   6.788614e-06   4.773775e-02   41        36        1         0         93663     211               55431             36                0                 
  36    5.752334e-08   1.769376e-05   6.788034e-02   42        37        1         0         95827     216               56688             37                0                 
  37    3.662328e-08   6.829156e-06   2.068508e-02   43        38        1         0         98030     221               57984             38                0                 
  38    2.994541e-08   2.276985e-06   8.467009e-03   44        39        1         0         100263    226               59310             39                0                 
  39    2.788673e-08   2.337637e-06   1.889811e-03   45        40        1         0         102577    231               60717             40                0                 
  40    1.957733e-08   3.314771e-06   1.050964e-02   46        41        1         0         104840    236               62073             41                0                 
  41    1.900897e-08   1.334885e-05   2.451201e-02   47        42        1         0         107037    241               63363             42                0                 
  42    5.190713e-09   3.772954e-06   4.153456e-03   48        43        1         0         109261    246               64680             43                0                 
  43    1.707303e-09   1.604055e-06   5.807620e-03   49        44        1         0         111515    251               66027             44                0                 
  44    4.677816e-10   5.879545e-07   6.795826e-03   50        45        1         0         113823    256               67428             45                0                 
  45    4.260320e-10   1.011683e-07   8.933298e-04   51        46        1         0         116176    261               68874             46                0                 
  46    4.239626e-10   6.346262e-08   4.952899e-05   52        47        1         0         118607    266               70398             47                0                 
  47    4.224449e-10   9.964895e-08   4.065613e-05   53        48        1         0         121038    271               71922             48                0                 
  48    4.172990e-10   2.097301e-07   1.498536e-04   54        49        1         0         123400    276               73377             49                0                 
  49    4.063451e-10   3.561340e-07   3.452669e-04   55        50        1         0         125768    281               74838             50                0                 
  50    3.822734e-10   5.239242e-07   8.228103e-04   56        51        1         0         128157    286               76320             51                0                 
  51    3.459882e-10   5.665992e-07   1.372357e-03   57        52        1         0         130585    291               77841             52                0                 
